発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1990-02-01,-,2,ETC,ニチブツ,麻雀刺客列伝麻雀ウォーズ,"￥5,400","￥5,500代",0,1
1990-02-07,-,2,SPT,ビデオシステム,スーパーバレーボール,"￥5,800","￥6,000代",0,1
1990-02-23,-,3,ACT,タイトー,ニュージーランドストーリー,"￥6,600","￥6,500代",0,1
1990-02-23,-,1,PUZ,ハドソン,ブロディア(Vol.25),"￥4,500","￥4,500代",0,1
1990-02-23,-,3,ACT,ビクター音楽産業,虎への道,"￥6,700","￥6,500代",0,1
1990-02-23,-,3,SLG,メサイヤ,飛装騎兵カイザード,"￥6,200","￥6,000代",0,1
1990-03-01,-,2,SHT,ナグザット,パラノイア,"￥5,800","￥6,000代",0,1
1990-03-02,-,3,ACT,サンソフト,シティハンター,"￥6,300","￥6,500代",0,1
1990-03-02,-,2,SHT,タイトー,スペースインベーダーズ復活の日,"￥5,900","￥6,000代",0,1
1990-03-02,-,4,ADV,メサイヤ,謎のマスカレード,"￥6,000","￥6,000代",0,1
1990-03-09,-,3,SHT,I.G.S.,サイバーコア,"￥6,700","￥6,500代",0,1
1990-03-10,32,4,ACT,ナムコ,源平討魔伝,"￥6,800","￥7,000代",0,1
1990-03-16,-,1,PUZ,メディアリング,倉庫番ワールド,"￥5,400","￥5,500代",0,1
1990-03-23,-,2,SHT,パックインビデオ,アームドF,"￥6,700","￥6,500代",0,1
1990-03-27,-,4,ACT,タイトー,奇々怪界,"￥5,500","￥5,500代",0,1
1990-03-30,-,2,ACT,ハドソン,BEBALL(Vol.28),"￥5,200","￥5,000代",0,1
1990-03-30,-,2,ETC,ビクター音楽産業,キングオブカジノ,"￥6,200","￥6,000代",0,1
1990-03-30,-,2,ACT,データイースト,ドロップロックほらホラ,"￥5,900","￥6,000代",0,1
1990-03-30,-,2,SPT,ナグザット,熱血高校ドッジボール部PC番外編,"￥5,900","￥6,000代",0,1
1990-04-03,-,4,ACT,ナムコ,スプラッターハウス,"￥6,800","￥7,000代",0,1
1990-04-06,-,2,SHT,ナグザット,サイコチェイサー,"￥5,800","￥6,000代",0,1
1990-04-06,-,4,ACT,ハドソン,魔動王グランゾート,"￥6,500","￥6,500代",0,1
1990-04-13,-,4,RAC,アスミック,パワードリフト,"￥6,900","￥7,000代",0,1
1990-04-20,30,4,RPG,アスク講談社,ネクロスの要塞,"￥6,800","￥7,000代",0,1
1990-04-27,-,4,SHT,ナムコ,バルンバ,"￥6,800","￥7,000代",0,1
1990-04-27,30,2,SPT,ヒューマン,フォーメーションサッカーヒューマンカップ90,"￥5,500","￥5,500代",0,1
1990-04-27,-,3,ACT,ハドソン,青いブリンク,"￥6,200","￥6,000代",0,1
1990-05-25,-,4,SPT,ハドソン,マニアックプロレス(Vol.27),"￥6,500","￥6,500代",0,1
1990-05-31,-,3,ACT,タイトー,ドンドコドン,"￥5,800","￥6,000代",0,1
1990-06-02,-,3,RPG,I.G.S.,シンドバッド地底の大魔宮,"￥6,700","￥6,500代",0,1
1990-06-15,-,3,ACT,ビクター音楽産業,ヴェイグス,"￥6,700","￥6,500代",0,1
1990-06-22,-,4,SHT,NECアベニュー,ダウンロード,"￥6,800","￥7,000代",0,1
1990-06-29,-,2,SPT,インテック,これがプロ野球'90,"￥5,800","￥6,000代",0,1
1990-06-29,-,2,SHT,ナムコ,ゼビウスファードラウト伝説,"￥5,800","￥6,000代",0,1
1990-06-29,-,2,PUZ,タイトー,パズニック,"￥5,900","￥6,000代",0,1
1990-06-29,-,4,ETC,フェイス,麻雀学園MILD東間宗四郎登場,"￥7,980","￥8,000代",0,1
1990-07-06,-,2,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.1,"￥4,800","￥5,000代",0,1
1990-07-06,34,4,SHT,ハドソン,スーパースターソルジャー(Vol.30),"￥6,500","￥6,500代",0,1
1990-07-06,-,3,ACT,タイトー,ラスタンサーガII,"￥6,600","￥6,500代",0,1
1990-07-06,32,4,ACT,アイレム,最後の忍道NINJASPIRIT(Vol.4),"￥7,000","￥7,000代",0,1
