稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1988-02-01,AC,-,,SEGA,エンゼルキッズ（英語版）,太平技研、EXAプランニング,0,0
1988-03-01,AC,日本システムマザーボード,,SEGA,カウンターラン,日本システム,0,0
1988-03-01,AC,システム24,,SEGA,ホットロッド,,0,0
1988-04-01,AC,システム16A、B,,SEGA,エースアタッカー,,0,0
1988-04-01,AC,Yボード,,SEGA,ギャラクシーフォース,,0,0
1988-06-01,AC,システム2,,SEGA,UFO戦士 ようこちゃん,ビック東海,0,0
1988-06-01,AC,システム16B,,SEGA,獣王記,,0,0
1988-07-01,AC,Yボード,,SEGA,ギャラクシーフォースII,,0,0
1988-08-01,AC,Yボード,,SEGA,パワードリフト,,0,0
1988-08-01,AC,システム16A、B,,SEGA,パッシングショット,,0,0
1988-09-01,AC,システム16B,,SEGA,エキサイトリーグ,,0,0
1988-10-01,AC,システム24,,SEGA,スクランブルスピリッツ,,0,0
1988-11-01,AC,システム16A、B,,SEGA,ワンダーボーイIII モンスター・レアー,ウエストン,0,0
1988-11-01,AC,システム24,,SEGA,ゲイングランド,,0,0
1988-12-01,AC,システム16A、B、システムE,PZL落ち物,SEGA,テトリス,,0,0
1988-12-01,AC,システム16B,,SEGA,ダイナマイトダックス（英語版）,,0,0
1989-01-01,AC,-,,SEGA,アストロウォリアー（英語版）,,0,0
1989-01-01,AC,システム16B,,SEGA,タフターフ（英語版）,サンソフト,0,0
1989-01-01,AC,Xボード,,SEGA,ラストサバイバー,,0,0
1989-02-01,AC,アウトランボード,,SEGA,ターボアウトラン,,0,0
1989-02-01,AC,システム16B,,SEGA,レッスルウォー（英語版）,,0,0
1989-03-01,AC,システム24,,SEGA,クラックダウン,,0,0
1989-04-01,AC,システム16B,,SEGA,ベイルート（英語版）,サンソフト,0,0
1989-05-01,AC,システム16B,,SEGA,ゴールデンアックス,,0,0
1989-05-01,AC,Xボード,,SEGA,スーパーモナコGP,,0,0
1989-06-01,AC,システム24,,SEGA,ジャンボ尾崎のスーパーマスターズ（英語版）,,0,0
1989-07-01,AC,システム16B,,SEGA,フラッシュポイント,,0,0
1989-09-01,AC,-,,SEGA,DJボーイ（英語版）,金子製作所,0,0
1989-10-01,AC,システム16B,,SEGA,E-SWAT（英語版）,,0,0
1989-11-01,AC,システム18,,SEGA,シャドーダンサー（英語版）,,0,0
1989-12-01,AC,Xボード,,SEGA,ライン・オブ・ファイヤー（英語版）,,0,0
1990-01-01,AC,システム18、Cボード,,SEGA,ブロクシード,,0,0
1990-02-01,AC,システム16B,,SEGA,M.V.P.,,0,0
1990-03-01,AC,システム24,,SEGA,ラフレーサー（英語版）,,0,0
1990-03-01,AC,システム18,,SEGA,エイリアンストーム,,0,0
1990-03-01,AC,Xボード,,SEGA,レーシングヒーロー（英語版）,,0,0
1990-03-01,AC,Cボード,PZL落ち物,SEGA,コラムス,,0,0
1990-05-01,AC,Yボード,,SEGA,G-LOC,,0,0
1990-06-01,AC,システム24,,SEGA,ボナンザブラザーズ,,0,0
1990-08-01,AC,システム18,,SEGA,マイケル・ジャクソンズ・ムーンウォーカー,,0,0
1990-09-01,AC,Cボード,PZL落ち物,SEGA,コラムスII（英語版）,,0,0
1990-10-01,AC,システム16B,,SEGA,オーライル（英語版）,ウエストン,0,0
1990-10-01,AC,Xボード,,SEGA,GPライダー（英語版）,,0,0
1990-10-01,AC,システム16B,,SEGA,琉球,サクセス,0,0
1990-12-01,AC,Cボード,,SEGA,サンダーフォースAC,テクノソフト,0,0
1990-12-01,AC,システム18,,SEGA,レーザーゴースト（英語版）,,0,0
1991-01-01,AC,Xボード,,SEGA,A.B.コップ（英語版）,エイコム,0,0
1991-02-01,AC,システム32,,SEGA,ラッドモビール,,0,0
1991-02-01,AC,システム24,,SEGA,クイズ 宿題をわすれました!,,0,0
1991-04-01,AC,システム16B,,SEGA,コットン,サクセス,0,0
1991-05-01,AC,システム18,,SEGA,クラッチヒッター（英語版）,,0,0
1991-05-01,AC,システム24,,SEGA,ダイナミックC.C.,セガ（AM3研）,0,0
1991-06-01,AC,Yボード,,SEGA,ストライクファイター,セガ（AM2研）,0,0
1991-07-01,AC,システム32,,SEGA,ラッドラリー,,0,0
1991-07-01,AC,システム18,,SEGA,D.D.クルー（英語版）,セガ（AM3研）,0,0
1991-09-01,AC,システム32,,SEGA,スパイダーマン ザ ビデオゲーム,,0,0
1991-09-01,AC,Yボード,,SEGA,レールチェイス,セガ（AM3研）,0,0
1991-10-01,AC,-,,SEGA,タイムトラベラー（英語版）,,0,0
1991-11-01,AC,システム32,,SEGA,F1エキゾーストノート（英語版）,セガ（AM2研）,0,0
1991-11-01,AC,-,,SEGA,スティールタロンズ（英語版）,アタリ,0,0
1991-12-01,AC,システム24,,SEGA,クイズ 廊下に立ってなさい!,,0,0
1991-01-01,AC,システム16B,,SEGA,ライオットシティ（英語版）,ウエストン,0,0
1992-03-01,AC,システム32,,SEGA,アラビアンファイト,セガ（AM2研）,0,0
1992-04-01,AC,システム32,,SEGA,エアレスキュー（英語版）,セガ（AM1研）,0,0
1992-06-01,AC,システム18,,SEGA,ウォーリーをさがせ!,セガ（AM3研）,0,0
1992-07-01,AC,システムマルチ32,,SEGA,スタジアムクロス,セガ（AM1研）,0,0
1992-08-01,AC,モデル1,RCG,SEGA,バーチャレーシング,セガ（AM2研）,0,0
1992-09-01,AC,システム32,,SEGA,ゴールデンアックス デスアダーの復讐,セガ（AM1研）,0,0
1992-10-01,AC,C2ボード,PZL落ち物,SEGA,ぷよぷよ,コンパイル,0,0
