発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1991-05-31,-,3,SHT,タイトー,ファイアームスタング,"￥6,800","￥7,000代",0,MD
1991-06-14,-,6,ACT,ウルフチーム,アークス・オデッセイ,"￥8,500","￥8,500代",0,MD
1991-06-17,33,6,SLG,セガ,アドバンスド大戦略ドイツ電撃作戦,"￥8,700","￥8,500代",8,MD
1991-06-22,-,6,RPG,講談社総研,ブルーアルマナック,"￥8,700","￥8,500代",0,MD
1991-06-26,-,6,ACT,タイトー,サンダーフォックス,"￥8,500","￥8,500代",0,MD
1991-06-28,-,3,ACT,セガ,エイリアンストーム,"￥6,000","￥6,000代",0,MD
1991-06-28,-,3,ACT,タイトー,セイントソード,"￥6,800","￥7,000代",0,MD
1991-06-28,-,3,RAC,ヒューマン,ファステスト・ワン,"￥7,500","￥7,500代",0,MD
1991-06-28,-,6,ACT,ナムコ,マーベルランド,"￥7,000","￥7,000代",0,MD
1991-06-28,-,3,SPT,セガ,レッスルウォー,"￥6,000","￥6,000代",0,MD
1991-07-06,-,6,SHT,マイクロネット,雷電伝説,"￥8,800","￥9,000代",0,MD
1991-07-12,-,3,SPT,ナムコ,球界道中記,"￥6,000","￥6,000代",0,MD
1991-07-19,-,3,ACT,トレコ,ストリートスマート,"￥6,800","￥7,000代",0,MD
1991-07-26,33,3,ACT,セガ,ソニック・ザ・ヘッジホッグ,"￥6,000","￥6,000代",23,MD
1991-07-26,-,3,SLG,東芝EMI,マスター・オブ・モンスターズ,"￥7,800","￥8,000代",0,MD
1991-08-02,-,3,ACT,セガ,ベア・ナックル怒りの鉄拳,"￥6,000","￥6,000代",0,MD
1991-08-02,-,6,SHT,テレネット,空牙,"￥8,400","￥8,500代",0,MD
1991-08-02,-,3,ACT,ウルフチーム,超闘竜烈伝ディノランド,"￥6,800","￥7,000代",0,MD
1991-08-06,-,3,RAC,ナムコ,メガトラックス,"￥6,000","￥6,000代",0,MD
1991-08-09,30,6,RAC,セガ,アウトラン,"￥7,000","￥7,000代",0,MD
1991-08-09,30,3,SLG,セガ,ポピュラス,"￥6,000","￥6,000代",0,MD
1991-08-30,-,3,ACT,セガ,ジュエルマスター,"￥6,000","￥6,000代",0,MD
1991-08-30,-,3,SPT,セガ,プロ野球スーパーリーグ'91,"￥6,800","￥7,000代",0,MD
1991-09-13,-,6,SHT,ＣＲＩ,ギャラクシーフォースII,"￥8,400","￥8,500代",0,MD
1991-09-20,-,6,ACT,ウルフチーム,エル・ヴィエント,"￥8,500","￥8,500代",0,MD
1991-09-20,-,6,RPG,セガ,レンタヒーロー,"￥8,700","￥8,500代",0,MD
1991-09-27,-,3,SHT,タイトー,マスターオブウエポン,"￥6,800","￥7,000代",0,MD
1991-09-27,-,6,SHT,セガ,戦場の狼II,"￥7,000","￥7,000代",0,MD
1991-09-30,-,6,SHT,ＵＰＬ,宇宙戦艦ゴモラ,"￥7,500","￥7,500代",0,MD
1991-10-10,-,3,ACT,テクノソフト,デビルクラッシュMD,"￥6,800","￥7,000代",0,MD
1991-10-11,-,3,ACT,セガ,ソード・オブ・ソダン,"￥6,000","￥6,000代",0,MD
1991-10-18,-,3,ACT,セガ,スパイダーマン,"￥6,000","￥6,000代",0,MD
1991-10-25,-,4,ACT,セガ,ワンダーボーイVモンスターワールドIII,"￥7,000","￥7,000代",0,MD
1991-10-25,-,3,ACT,タイトー,魔王連獅子,"￥6,800","￥7,000代",0,MD
1991-10-31,-,2,TAB,ホームデータ,将棋の星,"￥6,700","￥6,500代",0,MD
1991-11-01,-,3,PUZ,セガ,ブロックアウト,"￥6,000","￥6,000代",0,MD
1991-11-01,-,6,RPG,テレネット,ワンダラーズフロムイース,"￥8,700","￥8,500代",0,MD
1991-11-02,-,2,PUZ,ホームデータ,ドラゴンズアイプラス上海III,"￥5,800","￥6,000代",0,MD
1991-11-03,-,1,ETC,セガ,ゲーム図書館,"￥12,800","￥13,000代",0,MD
1991-11-04,-,0,SPT,セガ,パターゴルフ(ゲーム図書館),-,-,0,MD
1991-11-05,-,2,ACT,セガ,16t(ゲーム図書館),-,-,0,MD
1991-11-06,-,0,ACT,セガ,アウォーグ(ゲーム図書館),-,-,0,MD
1991-11-07,-,0,TAB,セガ,キスショット(ゲーム図書館),-,-,0,MD
1991-11-08,-,0,PUZ,セガ,コラムス(ゲーム図書館),-,-,0,MD
1991-11-09,-,2,PUZ,セガ,ソニックイレイザー(ゲーム図書館),-,-,0,MD
1991-11-10,-,0,ACT,セガ,テディボーイブルース(ゲーム図書館),-,-,0,MD
1991-11-11,-,2,PUZ,セガ,どきどきペンギンランド(ゲーム図書館),-,-,0,MD
1991-11-12,-,2,ACT,セガ,ハイパーマーブル(ゲーム図書館),-,-,0,MD
1991-11-13,-,0,SPT,セガ,パドルファイター(ゲーム図書館),-,-,0,MD
1991-11-14,-,2,PUZ,セガ,ピラミッドマジック(ゲーム図書館),-,-,0,MD
1991-11-15,-,3,ACT,タイトー,ルナーク,"￥6,800","￥7,000代",0,MD
1991-11-15,-,0,PUZ,セガ,ピラミッドマジックSpecia(ゲーム図書館),-,-,0,MD
1991-11-16,-,2,PUZ,セガ,ピラミッドマジックII(ゲーム図書館),-,-,0,MD
1991-11-17,-,2,PUZ,セガ,ピラミッドマジックIII(ゲーム図書館),-,-,0,MD
1991-11-18,-,2,ADV,セガ,ファンタシースターIIテキストアドベンチャーアーミアの冒険(ゲーム図書館),-,-,0,MD
1991-11-19,-,6,ACT,ナムコ,ローリングサンダー2,"￥7,000","￥7,000代",0,MD
1991-11-19,-,0,ADV,セガ,ファンタシースターIIテキストアドベンチャーアンナの冒険(ゲーム図書館),-,-,0,MD
1991-11-20,-,2,ADV,セガ,ファンタシースターIIテキストアドベンチャーカインズの冒険(ゲーム図書館),-,-,0,MD
1991-11-21,-,2,ADV,セガ,ファンタシースターIIテキストアドベンチャーシルカの冒険(ゲーム図書館),-,-,0,MD
1991-11-22,-,3,ACT,セガ,ファンタジアミッキーマウス・マジック,"￥4,800","￥5,000代",0,MD
1991-11-22,-,0,ADV,セガ,ファンタシースターIIテキストアドベンチャーネイの冒険(ゲーム図書館),-,-,0,MD
1991-11-23,-,2,ADV,セガ,ファンタシースターIIテキストアドベンチャーヒューイの冒険(ゲーム図書館),-,-,0,MD
1991-11-24,-,0,ADV,セガ,ファンタシースターIIテキストアドベンチャーユーシスの冒険(ゲーム図書館),-,-,0,MD
1991-11-25,-,0,ADV,セガ,ファンタシースターIIテキストアドベンチャールドガーの冒険(ゲーム図書館),-,-,0,MD
1991-11-26,-,1,ACT,セガ,フリッキー(ゲーム図書館),-,-,0,MD
1991-11-27,-,2,PUZ,セガ,メガマインド(ゲーム図書館),-,-,0,MD
1991-11-28,-,0,TAB,セガ,メダルシティ(ゲーム図書館),-,-,0,MD
1991-11-29,-,6,ACT,テレネット,ビースト・ウォリアーズ,"￥8,400","￥8,500代",0,MD
1991-11-29,-,6,SLG,アスミック,乱世の覇者,"￥9,800","￥10,000代",0,MD
1991-11-29,-,0,TAB,セガ,リドルワイアード(ゲーム図書館),-,-,0,MD
1991-11-30,-,0,ACT,セガ,ロボットバトラー(ゲーム図書館),-,-,0,MD
1991-12-01,-,1,RPG,セガ,死の迷宮(ゲーム図書館),-,-,0,MD
1991-12-05,-,6,SLG,セガ,忍者武雷伝説,"￥8,700","￥8,500代",0,MD
1991-12-06,-,6,RPG,テレネット,エグザイル時の狭間へ,"￥8,900","￥9,000代",0,MD
1991-12-06,-,3,ACT,トレコ,ファイティングマスターズ,"￥6,800","￥7,000代",6,MD
1991-12-13,-,6,SLG,セガ,太平記,"￥8,700","￥8,500代",0,MD
1991-12-20,-,3,RAC,日本物産,F1サーカスMD,"￥7,500","￥7,500代",0,MD
1991-12-20,-,3,ACT,セガ,アイラブドナルドダックグルジア王の秘宝,"￥4,800","￥5,000代",0,MD
1991-12-20,-,6,SHT,PALSOFT,アンデッドライン,"￥8,800","￥9,000代",0,MD
1991-12-20,-,6,ACT,ＩＧＳ,ダーナ女神誕生,"￥8,900","￥9,000代",0,MD
1991-12-20,-,6,SHT,トレコ,タスクフォースハリアーEX,"￥8,500","￥8,500代",0,MD
1991-12-20,-,3,ACT,PALSOFT,ダブルドラゴンII,"￥8,800","￥9,000代",0,MD
1991-12-20,-,6,SLG,光栄,信長の野望武将風雲録,"￥11,800","￥12,000代",0,MD
1991-12-20,-,6,RAC,バリエ,中島悟監修F-1GRANDPRIX,"￥7,800","￥8,000代",0,MD
1991-12-26,-,6,SLG,光栄,三國志II,"￥14,800","￥15,000代",0,MD
1991-12-27,-,3,ACT,セガ,ゴールデンアックスII,"￥6,000","￥6,000代",0,MD
1991-12-27,-,6,ACT,テレネット,夢幻戦士ヴァリス,"￥8,400","￥8,500代",0,MD
1992-01-14,-,6,SHT,サンソフト,スーパーファンタジーゾーン,"￥6,800","￥7,000代",0,MD
1992-01-14,-,3,TAB,ナムコ,ちびまる子ちゃんわくわくショッピング,"￥6,000","￥6,000代",0,MD
1992-01-24,-,6,SPT,セガ,ジョー・モンタナIIスポーツトークフットボール,"￥6,800","￥7,000代",0,MD
1992-01-31,-,3,ACT,セガ,JuJu伝説,"￥6,000","￥6,000代",0,MD
1992-01-31,-,2,SPT,シムス,テクモワールドカップ'92,"￥6,200","￥6,000代",0,MD
1992-01-31,-,3,ACT,カネコ,ワニワニWorld,"￥6,600","￥6,500代",0,MD
1992-02-07,-,6,RPG,メサイヤ,ソーサルキングダム,"￥8,800","￥9,000代",0,MD
1992-02-14,-,3,ACT,テレネット,SDヴァリス,"￥6,800","￥7,000代",0,MD
1992-02-14,-,6,RPG,テレネット,港のトレイジア,"￥8,900","￥9,000代",0,MD
1992-02-28,-,6,ACT,データイースト,クルードバスター,"￥7,800","￥8,000代",0,MD
1992-02-28,-,3,RAC,テンゲン,ロードブラスターズ,"￥6,800","￥7,000代",0,MD
1992-03-06,-,3,SHT,ビック東海,バトルマニア,"￥6,800","￥7,000代",0,MD
1992-03-13,-,6,ACT,セガ,トージャム＆アール,"￥6,800","￥7,000代",0,MD
1992-03-13,-,6,SHT,ホット・ビィ,鋼鉄帝国,"￥7,800","￥8,000代",0,MD
1992-03-20,-,0,ETC,セガ,バックアップRAMカートリッジ,"￥6,300","￥6,500代",0,MD
1992-03-20,-,8,SLG,セガ,シャイニング・フォース神々の遺産,"￥8,700","￥8,500代",24,MD
1992-03-27,-,1,TAB,セガ,アートアライブ,"￥3,800","￥4,000代",0,MD
1992-03-27,-,3,SPT,ヒューマン,サンダープロレスリング列伝,"￥7,400","￥7,500代",0,MD
1992-03-27,-,6,ACT,ビクター音産,シャドー･オブ･ザ･ビースト魔性の掟,"￥8,800","￥9,000代",0,MD
1992-03-27,-,3,ACT,ＭＣＷ,ストームロード,"￥6,800","￥7,000代",0,MD
1992-03-27,-,3,RAC,セガ,ターボアウトラン,"￥6,000","￥6,000代",0,MD
1992-03-27,-,6,ACT,テンゲン,ピットファイター,"￥7,800","￥8,000代",0,MD
1992-04-10,-,3,SLG,セガ,A列車で行こうMD,"￥6,800","￥7,000代",0,MD
1992-04-24,-,6,ACT,ゲームアーツ,アリシアドラグーン,"￥7,800","￥8,000代",0,MD
1992-04-24,-,3,TAB,ホット・ビィ,バッドオーメン,"￥6,800","￥7,000代",0,MD
1992-04-24,-,3,ACT,セガ,まじかる☆タルるートくん,"￥3,880","￥4,000代",9,MD
1992-04-29,-,6,SLG,光栄,大航海時代,"￥11,800","￥12,000代",0,MD
1992-04-30,30,3,ACT,ＭＣＷ,スライムワールド,"￥6,800","￥7,000代",0,MD
1992-05-15,-,6,RAC,バリエ,中島悟監修F1HEROMD,"￥7,800","￥8,000代",0,MD
1992-05-28,-,6,SLG,マイクロネット,シーザーの野望II,"￥8,800","￥9,000代",0,MD
1992-05-29,-,6,ACT,セガ,カメレオンキッド,"￥6,800","￥7,000代",0,MD
1992-06-12,-,3,SPT,テレネット,グランドスラム,"￥6,800","￥7,000代",0,MD
1992-06-19,-,6,SPT,ソフトビジョン,TOPPROGOLF,"￥8,500","￥8,500代",0,MD
1992-06-19,30,3,SPT,ＣＲＩ,スピードボール2,"￥6,800","￥7,000代",0,MD
1992-06-25,-,6,SLG,光栄,ロイヤルブラッド,"￥9,800","￥10,000代",0,MD
1992-06-26,-,3,ACT,テンゲン,ペーパーボーイ,"￥6,800","￥7,000代",0,MD
1992-06-26,-,6,RPG,セガ,闘技王キングコロッサス,"￥5,800","￥6,000代",0,MD
1992-07-10,-,3,SPT,セガ,デビッド・ロビンソンバスケットボール,"￥4,800","￥5,000代",0,MD
1992-07-10,-,3,SPT,セガ,炎の闘球児ドッジ弾平,"￥3,800","￥4,000代",0,MD
1992-07-17,-,6,RAC,セガ,アイルトン・セナスーパーモナコGPII,"￥7,800","￥8,000代",11,MD
1992-07-17,-,6,SHT,メサイヤ,グレイランサー,"￥8,300","￥8,500代",0,MD
1992-07-24,-,3,SPT,セガ,オリンピックゴールド,"￥4,800","￥5,000代",0,MD
1992-07-24,-,6,SHT,テクノソフト,サンダーフォースIV,"￥8,800","￥9,000代",5,MD
1992-07-24,-,6,SLG,ＣＲＩ,ダイナブラザーズ,"￥8,800","￥9,000代",0,MD
1992-07-24,-,6,SHT,ＷＡＳ,ツインクルテール,"￥7,800","￥8,000代",0,MD
1992-08-04,-,6,ACT,ナムコ,スプラッターハウスPART2,"￥5,800","￥6,000代",0,MD
1992-08-07,-,3,TAB,セガ,ひょっこりひょうたん島大統領をめざせ,"￥4,800","￥5,000代",0,MD
1992-08-07,-,6,SLG,セガ,修羅の門,"￥6,000","￥6,000代",0,MD
1992-08-07,-,3,SPT,PALSOFT,熱血高校ドッジボール部サッカー編MD,"￥8,800","￥9,000代",0,MD
1992-09-24,-,6,SLG,光栄,提督の決断,"￥14,800","￥15,000代",0,MD
1992-09-26,-,3,SLG,ホット・ビィ,キングサーモン,"￥6,800","￥7,000代",0,MD
1992-10-16,-,6,ACT,データイースト,チェルノブ,"￥7,800","￥8,000代",0,MD
1992-10-16,-,6,ACT,セガ,チキチキボーイズ,"￥6,000","￥6,000代",0,MD
1992-10-23,-,6,SLG,メサイヤ,ヴィクセン357,"￥8,800","￥9,000代",0,MD
1992-10-23,-,3,RAC,タイトー,スーパーH.Q.,"￥6,800","￥7,000代",0,MD
1992-10-23,-,3,ADV,マーバ,機動警察パトレイバー98式起動せよ!,"￥7,800","￥8,000代",0,MD
1992-10-30,-,6,SHT,セガ,クライング亜生命戦争,"￥6,800","￥7,000代",0,MD
1992-10-30,-,3,SPT,セガ,ホリフィールドボクシング,"￥7,800","￥8,000代",0,MD
1992-10-30,33,9,RPG,セガ,ランドストーカー皇帝の財宝,"￥8,700","￥8,500代",15,MD
1992-11-01,-,6,SLG,光栄,エアーマネジメント大空に賭ける,"￥11,800","￥12,000代",0,MD
1992-11-08,-,8,SLG,光栄,三國志III,"￥14,800","￥15,000代",0,MD
1992-11-20,-,3,SPT,ＥＡＶ,プロフットボール,"￥6,800","￥7,000代",0,MD
1992-11-20,-,3,SPT,ＥＡＶ,プロホッケー,"￥6,800","￥7,000代",0,MD
1992-11-20,-,6,PUZ,サンソフト,レミングス,"￥7,800","￥8,000代",0,MD
1992-11-20,-,6,RAC,ＥＡＶ,ロードラッシュ,"￥7,800","￥8,000代",0,MD
1992-11-21,30,6,ACT,セガ,ソニック・ザ・ヘッジホッグ2,"￥6,800","￥7,000代",19,MD
1992-12-11,-,6,TAB,データイースト,サイドポケット,"￥7,800","￥8,000代",0,MD
1992-12-11,-,6,ACT,カネコ,パワーアスリート,"￥8,500","￥8,500代",0,MD
1992-12-11,-,3,SLG,テンゲン,ランパート,"￥6,800","￥7,000代",0,MD
1992-12-11,-,6,RAC,バリエ,中島悟監修F-1スーパーライセンス,"￥9,000","￥9,000代",0,MD
1992-12-18,-,6,SPT,テンゲン,R.B.I.4.ベースボール,"￥7,800","￥8,000代",0,MD
