発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応
2008-11-13,30,-,SPT,エレクトロニック・アーツ,FIFA09オールプレイ(EASPORTS),-,10914,0,Wii,-
2008-11-13,-,-,-,タカラトミー,人生ゲームWiiEX,-,10962,0,Wii,-
2008-11-13,34,-,ACT,THQジャパン,ブロブカラフルなきぼう,-,11031,0,Wii,-
2008-11-13,-,-,-,マイルストーン,イルベロWii,-,11046,0,Wii,-
2008-11-13,-,-,-,IEインスティテュート,NEW右脳キッズWii,-,11059,137,Wii,-
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森(ニンテンドーDS対応),-,10582,139,Wii,-
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森Wiiスピーク同梱版(ニンテンドーDS対応),-,10583,0,Wii,-
2008-11-20,-,-,-,カプコン,戦国BASARA2英雄外伝ダブルパック(ベストプライス！),-,10875,0,Wii,-
2008-11-20,-,-,-,マーベラス,家庭教師ヒットマンリボーン！禁断の闇のデルタ,-,11007,0,Wii,-
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロを,-,11095,0,Wii,-
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロをバラエティパック,-,11096,0,Wii,-
2008-11-27,-,-,-,バンダイナムコ,ことばのパズルもじぴったんWiiデラックス,-,10718,0,Wii,-
2008-11-27,31,-,ACT,ハドソン,はたらくヒト,-,10797,0,Wii,-
2008-11-27,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX3,-,10953,0,Wii,-
2008-11-27,-,-,-,マーベラス,ルーンファクトリーフロンティア,-,11003,0,Wii,-
2008-12-04,40,-,-,セガ,428封鎖された渋谷で,-,10654,0,Wii,-
2008-12-04,-,-,-,バンダイナムコ,風のクロノアdoortophantomile,-,10763,0,Wii,-
2008-12-04,-,-,-,タカラトミー,ヤッターマンWiiビックリドッキリマシンで猛レースだコロン,-,10959,0,Wii,-
2008-12-04,-,-,-,タイトー,クッキングママ2たいへん！！ママはおおいそがし！,-,11069,0,Wii,-
2008-12-11,-,-,-,任天堂,ドンキーコングジャングルビート(Wiiであそぶセレクション),-,10584,0,Wii,-
2008-12-11,-,-,-,セガ,サンバDEアミーゴ,-,10655,0,Wii,-
2008-12-11,-,-,-,バンダイナムコ,太鼓の達人Wii専用コントローラ「太鼓とバチ」同梱版,-,10767,66,Wii,-
