発売日,メモリ,容量(bit),価格,ハード,タイトル,ジャンル,ジョブカテゴリ,カウント
1999-03-04,0,0,🚧,WS,デジモンテイマーズ バトルスピリット,ACT,0,0
1999-03-04,0,0,🚧,WS,マリー＆エリー ～ふたりのアトリエ～,RPG,0,0
1999-03-04,0,0,🚧,WS,犬夜叉 ～かごめの戦国日記～,ADV,0,0
1999-03-04,0,0,🚧,WS,ファイナルラップスペシャル,RAC,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT For WonderSwanColor,RPG,0,0
1999-03-04,0,0,🚧,WS,Romancing Sa・Ga,RPG,0,0
1999-03-04,0,0,🚧,WS,XI[s?i]Little,PZL,0,0
1999-03-04,0,0,🚧,WS,デジモンテイマーズ ブレイブテイマー,RPG,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE ～トレジャーウォーズ～,ACT,0,0
1999-03-04,0,0,🚧,WS,RUN=DIM - Return to Earth -,STG,0,0
1999-03-04,0,0,🚧,WS,半熟英雄 ～ああ、世界よ半熟なれ…!!～,RPG,0,0
1999-03-04,0,0,🚧,WS,SDガンダム OPERATION U.C.,ACT,0,0
1999-03-04,0,0,🚧,WS,ゴールデンアックス,ACT,0,0
1999-03-04,0,0,🚧,WS,キン肉マンII世 ドリームタッグマッチ,ACT,0,0
1999-03-04,0,0,🚧,WS,デジタルモンスター カードゲーム Ver.WonderSwanColor,ETC,0,0
1999-03-04,0,0,🚧,WS,魔界塔士 サ・ガ,RPG,0,0
1999-03-04,0,0,🚧,WS,ファイナルファンタジーIV,RPG,0,0
1999-03-04,0,0,🚧,WS,テトリス,PZL,0,0
1999-03-04,0,0,🚧,WS,デジモンテイマーズ バトルスピリット Ver.1.5,ACT,0,0
1999-03-04,0,0,🚧,WS,機動戦士ガンダム Vol.3 -A BAOA QU-,SLG,0,0
1999-03-04,0,0,🚧,WS,グランスタ クロニクル,RPG,0,0
1999-03-04,0,0,🚧,WS,X CARDOF FATE,ETC,0,0
1999-03-04,0,0,🚧,WS,アークザラッド ～機神復活～,RPG,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE グランドバトル スワンコロシアム,ACT,0,0
1999-03-04,0,0,🚧,WS,フロントミッション,SLG,0,0
1999-03-04,0,0,🚧,WS,約束の地 リヴィエラ,RPG,0,0
1999-03-04,0,0,🚧,WS,犬夜叉 風雲絵巻,ADV,0,0
1999-03-04,0,0,🚧,WS,デジタルモンスター ディープロジェクト,ADV,0,0
1999-03-04,0,0,🚧,WS,激闘！ クラッシュギアTURBO　ギアチャンピオンリーグ,ACT,0,0
1999-03-04,0,0,🚧,WS,シャーマンキング 未来への意志,RPG,0,0
1999-03-04,0,0,🚧,WS,SDガンダム GGENERATION モノアイ ガンダムズ,RPG,0,0
1999-03-04,0,0,🚧,WS,ナムコスーパーウォーズ,RPG,0,0
1999-03-04,0,0,🚧,WS,犬夜叉 かごめの夢日記,ADV,0,0
1999-03-04,0,0,🚧,WS,バトルスピリット デジモンフロンティア,ACT,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE トレジャーウォーズ2 バギーランドへようこそ,ACT,0,0
1999-03-04,0,0,🚧,WS,キン肉マンII世 超人聖戦史,RPG,0,0
1999-03-04,0,0,🚧,WS,ロックマン エグゼ WS,ACT,0,0
1999-03-04,0,0,🚧,WS,機動戦士ガンダムSEED,ACT,0,0
1999-03-04,0,0,🚧,WS,NARUTO -ナルト- 木ノ葉忍法帖,RPG,0,0
1999-03-04,0,0,🚧,WS,HUNTER×HUNTER G･I,RPG,0,0
1999-03-04,0,0,🚧,WS,機動戦士ガンダム ギレンの野望 特別編 蒼き星の覇者,SLG,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT3,RPG,0,0
1999-03-04,0,0,🚧,WS,聖闘士星矢 黄金伝説編　Perfect Edition,RPG,0,0
1999-03-04,0,0,🚧,WS,ロックマン エグゼ N1バトル,ACT,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE ～チョッパーの大冒険～,RPG,0,0
1999-03-04,0,0,🚧,WS,DRAGON BALL,RPG,0,0
1999-03-04,0,0,🚧,WS,JUDGEMENT SILVERSWORD -Rebirth Edition-,STG,0,0
1999-03-04,0,0,🚧,WS,DicingKnight.（だいしんぐないと ピリオド）,ACT,0,0
1995-07-21,0,0,🚧,VB,ギャラクティック・ピンボール,ACT,0,0
1995-07-21,0,0,🚧,VB,テレロボクサー,SPT,0,0
1995-07-21,0,0,🚧,VB,マリオズテニス,SPT,0,0
1995-07-21,0,0,🚧,VB,レッドアラーム,STG,0,0
1995-07-21,0,0,🚧,VB,とびだせ！ぱにボン,PZL,0,0
1995-07-21,0,0,🚧,VB,Ｔ＆Ｅ　ヴァーチャルゴルフ,SPT,0,0
1995-07-21,0,0,🚧,VB,バーチャルプロ野球’９５,SPT,0,0
1995-07-21,0,0,🚧,VB,バーティカルフォース,STG,0,0
1995-07-21,0,0,🚧,VB,Ｖ－テトリス,PZL,0,0
1995-07-21,0,0,🚧,VB,スペーススカッシュ,ACT,0,0
1995-07-21,0,0,🚧,VB,マリオクラッシュ,ACT,0,0
1995-07-21,0,0,🚧,VB,ジャック・ブラザーズの迷路でヒーホー！,ACT,0,0
1995-07-21,0,0,🚧,VB,バーチャルフィッシング,SPT,0,0
1995-07-21,0,0,🚧,VB,インスマウスの館,ACT,0,0
1995-07-21,0,0,🚧,VB,スペースインベーダー,STG,0,0
1995-07-21,0,0,🚧,VB,バーチャルボーイワリオランド アワゾンの秘宝,ACT,0,0
1995-07-21,0,0,🚧,VB,バーチャルＬＡＢ,PZL,0,0
1995-07-21,0,0,🚧,VB,ＳＤガンダム　ＤＩＭＥＮＳＩＯＮ　ＷＡＲ,SLG,0,0
1995-07-21,0,0,🚧,VB,バーチャルボウリング,SPT,0,0
1985-10-20,0,0,🚧,SMS,ボーダーライン,ACT,0,0
1985-10-20,0,0,🚧,SMS,サファリハンティング,ACT,0,0
1985-10-20,0,0,🚧,SMS,Ｎ-サブ,STG,0,0
1985-10-20,0,0,🚧,SMS,麻雀,TBL,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンゴルフ,SPT,0,0
1985-10-20,0,0,🚧,SMS,芹沢八段の詰将棋,TBL,0,0
1985-10-20,0,0,🚧,SMS,コンゴボンゴ,ACT,0,0
1985-10-20,0,0,🚧,SMS,ＹＡＭＡＴＯ,STG,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンテニス,SPT,0,0
1985-10-20,0,0,🚧,SMS,スタージャッカー,STG,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンベースボール,SPT,0,0
1985-10-20,0,0,🚧,SMS,シンドバットミステリー,ACT,0,0
1985-10-20,0,0,🚧,SMS,モナコＧＰ,RAC,0,0
1985-10-20,0,0,🚧,SMS,セガフリッパー,ACT,0,0
1985-10-20,0,0,🚧,SMS,ポップフレーマー,ACT,0,0
1985-10-20,0,0,🚧,SMS,パッカー,ACT,0,0
1985-10-20,0,0,🚧,SMS,セガ・ギャラガ,STG,0,0
1985-10-20,0,0,🚧,SMS,スペーススラローム,STG,0,0
1985-10-20,0,0,🚧,SMS,ジッピーレース,RAC,0,0
1985-10-20,0,0,🚧,SMS,パチンコ,ETC,0,0
1985-10-20,0,0,🚧,SMS,エクセリオン,STG,0,0
1985-10-20,0,0,🚧,SMS,ゴルゴ１３,STG,0,0
1985-10-20,0,0,🚧,SMS,オーガス,STG,0,0
1985-10-20,0,0,🚧,SMS,パチンコII,ETC,0,0
1985-10-20,0,0,🚧,SMS,ホーム麻雀,TBL,0,0
1985-10-20,0,0,🚧,SMS,ロードランナー,ACT,0,0
1985-10-20,0,0,🚧,SMS,サファリレース,RAC,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンボクシング,SPT,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンサッカー,SPT,0,0
1985-10-20,0,0,🚧,SMS,ハッスルチューミー,ACT,0,0
1985-10-20,0,0,🚧,SMS,フリッキー,ACT,0,0
1985-10-20,0,0,🚧,SMS,ガールズガーデン,ACT,0,0
1985-10-20,0,0,🚧,SMS,ザクソン,STG,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンプロレス,SPT,0,0
1985-10-20,0,0,🚧,SMS,ＧＰワールド,RAC,0,0
1985-10-20,0,0,🚧,SMS,コナミの新入社員とおる君,ACT,0,0
1985-10-20,0,0,🚧,SMS,コナミのハイパースポーツ,SPT,0,0
1985-10-20,0,0,🚧,SMS,スターフォース,STG,0,0
1985-10-20,0,0,🚧,SMS,オセロ,TBL,0,0
1985-10-20,0,0,🚧,SMS,スペースインベーダー,STG,0,0
1985-10-20,0,0,🚧,SMS,ザ・キャッスル,ACT,0,0
1985-10-20,0,0,🚧,SMS,キューバート,ACT,0,0
1985-10-20,0,0,🚧,SMS,ガズラー,ACT,0,0
1985-10-20,0,0,🚧,SMS,スペースマウンテン,STG,0,0
1985-10-20,0,0,🚧,SMS,三人麻雀,TBL,0,0
1985-10-20,0,0,🚧,SMS,チャレンジダービー,ACT,0,0
1985-10-20,0,0,🚧,SMS,岡本綾子のマッチプレーゴルフ,SPT,0,0
1985-10-20,0,0,🚧,SMS,スペースアーマー,STG,0,0
1985-10-20,0,0,🚧,SMS,007ジェイムズボンド,ACT,0,0
1985-10-20,0,0,🚧,SMS,ミュージック(MUSIC),ETC,0,0
1985-10-20,0,0,🚧,SMS,テレビおえかき,ETC,0,0
1985-10-20,0,0,🚧,SMS,中学必修英単語(中学1年生用),ETC,0,0
1985-10-20,0,0,🚧,SMS,中学必修英作文(中学1年生用),ETC,0,0
1985-10-20,0,0,🚧,SMS,中学必修英文法(中学1年生用),ETC,0,0
1985-10-20,0,0,🚧,SMS,楽しい算数(小学4年生上),ETC,0,0
1985-10-20,0,0,🚧,SMS,化学(元素記号マスター),ETC,0,0
1985-10-20,0,0,🚧,SMS,日本史年表,ETC,0,0
1985-10-20,0,0,🚧,SMS,世界史年表,ETC,0,0
1985-10-20,0,0,🚧,SMS,中学必修英単語(中学2年生用),ETC,0,0
