発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1988-01-01,MSX,-,2M,光栄,蒼き狼と白き牝鹿ジンギスカン,"￥9,800","￥10,000代",1,koei+SRAM
1988-01-01,MSX2,-,4M,光栄,蒼き狼と白き牝鹿ジンギスカン,￥,￥0代,1,koei+SRAM
1986-01-01,MSX2,-,1M,マイクロキャビン,大戦略,￥,￥0代,1,ASCII_16KB+SRAM
1987-01-01,MSX2,-,2M,ファルコム,太陽の神殿アステカⅡ,"￥7,800","￥8,000代",1,ASCII_8KB
1990-01-01,MSX2,-,4M,光栄,大航海時代,￥,￥0代,1,koei+SRAM
1984-01-01,MSX,-,16K,カシオ,大障害競馬,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,キャリーラボ,大脱走,￥,￥0代,1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,谷川浩司の将棋指南,"￥4,900","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,ポニーキャニオン,谷川浩司の将棋指南II名人への道,"￥5,500","￥5,500代",1,ASCII_8KB+SRAM
1980-01-01,不明,-,不明,ストラッドフォード,中学必修英作文,￥,￥0代,1,?
1987-01-01,MSX,-,32K,ストラッドフォード,中学必修英文法[中学1年],￥,￥0代,1,Mirrored
1985-01-01,MSX,-,32K,ボースティック,超時空要塞マクロスカウントダウン,"￥5,800","￥6,000代",1,Mirrored
1986-01-01,MSX,-,32K,コスモスコンピュータ,超戦士ザイダーバトルオブペガス,"￥5,800","￥6,000代",1,Mirrored
1988-01-01,MSX2,-,1M,クロスメディア,釣りキチ三平ブルーマリン編,"￥6,800","￥7,000代",1,ASCII_8KB
1989-01-01,MSX2,-,2M,ビクター音産,釣りキチ三平釣り仙人編,"￥8,200","￥8,000代",1,ASCII_8KB
1991-01-01,MSXTurboR,-,8M,光栄,提督の決断,"￥14,800","￥15,000代",1,koei+SRAM
1987-01-01,MSX2,-,1M,タイトー／ニデコ,天国よいとこ,"￥5,800","￥6,000代",1,ASCII_8KB
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,天才ラビアン大奮戦,"￥4,900","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ジャスト,天使たちの午後,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX2,-,1M,BIT2,伝説の聖戦士アシュギーネ,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX2,-,2M,ＳＮＫ,怒,"￥6,800","￥7,000代",1,ASCII_16KB
1986-01-01,MSX,-,4M,アスキー,日本語MSX-Write,"￥19,800","￥20,000代",1,ASCII_16KB
1988-01-01,MSX2,-,4M,アスキー,日本語ワードプロセッサMSX-WriteII,"￥19,800","￥20,000代",1,ASCII_8KB+SRAM
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,日本語ワードプロセッサ漢字君II,"￥14,800","￥15,000代",1,?
1987-01-01,MSX,-,32K,ストラッドフォード,日本史年表,￥,￥0代,1,Mirrored
