発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1990-06-29,FC,1M,SPT,ジャレコ,燃えろ！！柔道WARRIORS,"￥5,600","￥5,500代",0,-
1990-06-29,FC,1M,PZL,アイレム,迷宮島,"￥5,800","￥6,000代",0,-
1990-07-06,FC,1M,PZL,BPS,ハットリス,"￥5,500","￥5,500代",0,-
1990-07-06,FC,256K,PZL,ホットビィ,パラメデス,"￥5,500","￥5,500代",0,-
1990-07-06,FC,1M,ACT,カルチャーブレーン,飛龍の拳Ⅲ五人の龍戦士,"￥6,300","￥6,500代",0,-
1990-07-07,FC,1M,ACT,バンプレスト,SDヒーロー総決戦倒せ悪の軍団,"￥6,300","￥6,500代",0,-
1990-07-13,FC,1M,ACT,アテナ,wit's(ウイッツ),"￥5,800","￥6,000代",0,-
1990-07-20,FC,2M,SPT,テクモ,キャプテン翼Ⅱスーパーストライカー,"￥6,900","￥7,000代",0,31
1990-07-20,FC,1M,ACT,エピックソニー,ソルスティス三次元迷宮の狂獣,"￥5,900","￥6,000代",0,-
1990-07-20,FC,1M,TAB,日本物産,ニチブツマージャンⅢマージャンGメン,"￥6,400","￥6,500代",0,-
1990-07-20,FC,256K,SHT,タイトー,無頼戦士(ブライファイター),"￥5,900","￥6,000代",0,-
1990-07-20,FC,1M,ACT,アスミック,獣王記,"￥5,900","￥6,000代",0,-
1990-07-24,FC,1M,SPT,データイースト,ザ・ペナントリーグホームランナイター'90ペナントリーグ,"￥6,300","￥6,500代",0,-
1990-07-27,FC,1M,ACT,ビック東海,ゴルゴ13第二章イカロスの謎,"￥6,000","￥6,000代",0,-
1990-07-27,FC,1M,RPG,ケイアミューズメントリース,ステッド遺跡惑星の野望,"￥5,900","￥6,000代",0,-
1990-07-27,FC,256K,PZL,任天堂,Dr.マリオ(ドクターマリオ),"￥4,900","￥5,000代",153,31
1990-07-27,FC,2M,RPG,ハドソン,ビックリマンワールド激突聖戦士,"￥6,800","￥7,000代",0,-
1990-07-27,FC,2M,SPT,ジャレコ,燃えプロ！'90感動編,"￥6,500","￥6,500代",0,-
1990-07-31,FC,2M,RPG,学習研究社,MightandMagic(マイトアンドマジック),"￥8,500","￥8,500代",0,-
1990-08-03,FC,1M,ETC,ココナッツジャパン,ゲームパーティー,"￥6,500","￥6,500代",0,-
1990-08-03,FC,1M,ACT,ケムコ,ハッピーバースディバックス,"￥5,900","￥6,000代",0,-
1990-08-08,FC,1M,ACT,カプコン,2010ストリートファイター,"￥5,800","￥6,000代",0,-
1990-08-08,FC,4M,RPG,アスキー,忍者らホイ！痛快うんがちょこ忍法伝,"￥7,800","￥8,000代",0,-
1990-08-10,FC,1M,ACT,ナツメ,闇の仕事人KAGE,"￥5,900","￥6,000代",0,-
1990-08-10,FC,1M,ACT,ソフエル,タイタン,"￥5,900","￥6,000代",0,-
1990-08-10,FC,1M,ACT,トーワチキ,ドラゴンファイター,"￥5,700","￥5,500代",0,-
1990-08-10,FC,1M,PZL,バリエ,ぱられるワールド,"￥5,980","￥6,000代",0,-
1990-08-10,FC,256K,PZL,サンリツ電気,ピーパータイム,"￥4,900","￥5,000代",0,-
1990-08-10,FC,1M,ACT,サンソフト,ラフ,"￥5,500","￥5,500代",0,-
