発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1993-09-30,PCE💿SCD,💿512MB,SLG,光栄,蒼き狼と白き牝鹿・元朝秘史💿,調査中,調査中,0,-
1993-09-30,PCE💿SCD,💿512MB,ADV,リバーヒルソフト,機動警察パトレイバーグリフォン篇💿,調査中,調査中,0,-
1993-09-30,PCE💿SCD,💿512MB,TBL,NECアベニュー,麻雀オンザビーチ💿,調査中,調査中,0,-
1993-09-30,PCE💿SCD,💿512MB,SHT,バンプレスト,幽☆遊☆白書闇勝負!!暗黒武術会💿,調査中,調査中,0,-
1993-10-02,PCE💿SCD,💿512MB,SLG,光栄,三國志III💿,調査中,調査中,0,-
1993-10-22,PCE💿SCD,💿512MB,SHT,トンキンハウス,シルフィア💿,調査中,調査中,0,-
1993-10-22,PCE💿SCD,💿512MB,RPG,レイ・フォース,スタートリング・オデッセイ💿,調査中,調査中,0,-
1993-10-29,PCE💿SCD,💿512MB,RPG,ハドソン,マイト・アンド・マジックIII💿,調査中,調査中,0,-
1993-10-29,PCE💿SCD,💿512MB,ACT,コナミ,悪魔城ドラキュラX血の輪廻💿,調査中,調査中,0,-
1993-10-29,PCE💿SCD,💿512MB,ACT,インテック,GALAXY刑事GAYVAN💿,調査中,調査中,0,-
1993-10-29,PCE💿SCD,💿512MB,ARPG,NECホームエレクトロニクス,マジクール💿,調査中,調査中,0,-
1993-11-19,PCE💿SCD,💿512MB,SLG,ライトスタッフ,ソードマスター💿,調査中,調査中,0,-
1993-11-19,PCE💿SCD,💿512MB,ARPG,ビクター音楽産業,ルイン神の遺産💿,調査中,調査中,0,-
1993-11-26,PCE💿SCD,💿512MB,QUIZ,ナグザット,クイズDE学園祭💿,調査中,調査中,0,-
1993-11-26,PCE💿SCD,💿512MB,TBL,ヒューマン,ただいま勇者募集中💿,調査中,調査中,0,-
1993-11-26,PCE💿SCD,💿512MB,ACT,リバーヒルソフト,フェイスボール💿,調査中,調査中,0,-
1993-12-03,PCE💿SCD,💿512MB,SLG,工画堂スタジオ,機装ルーガ💿,調査中,調査中,0,-
1993-12-10,PCE💿SCD,💿512MB,ACT,日本物産,伊賀忍伝凱王💿,調査中,調査中,0,-
1993-12-10,PCE💿SCD,💿512MB,RPG,パック・イン・ビデオ,オーロラクエストおたくの星座INANOTHERWORLD💿,調査中,調査中,0,-
1993-12-10,PCE💿SCD,💿512MB,ADV,徳間書店インターメディア,秘密の花園💿,調査中,調査中,0,-
1993-12-11,PCE💿SCD,💿512MB,SLG,光栄,信長の野望・全国版💿,調査中,調査中,0,-
1993-12-17,PCE💿SCD,💿512MB,TBL,ナグザット,スーパーリアル麻雀PIVカスタム💿,調査中,調査中,0,-
1993-12-17,PCE💿SCD,💿512MB,ACT,コナミ,マーシャルチャンピオン💿,調査中,調査中,0,-
1993-12-17,PCE💿SCD,💿512MB,ADV,ナグザット,闇の血族〜遥かなる記憶〜💿,調査中,調査中,0,-
1993-12-19,PCE💿SCD,💿512MB,ACT,ライトスタッフ,フラッシュハイダース💿,調査中,調査中,0,-
1993-12-22,PCE💿SCD,💿512MB,ARPG,ハドソン,イースIVTheDawnofYs💿,調査中,調査中,0,-
1993-12-23,PCE💿SCD,💿512MB,SHT,NECアベニュー,スーパーダライアスII💿,調査中,調査中,0,-
1993-12-24,PCE💿SCD,💿512MB,TBL,日本物産,セクシーアイドル麻雀💿,調査中,調査中,0,-
1993-12-24,PCE💿SCD,💿512MB,ACT,ナグザット,ダウンタウン熱血物語💿,調査中,調査中,0,-
1993-12-25,PCE💿SCD,💿512MB,RPG,アトラス,真・女神転生💿,調査中,調査中,0,-
1994-01-03,PCE💿SCD,💿512MB,ACT,ハドソン,爆笑吉本新喜劇・今日はこれぐらいにしといたる!💿,調査中,調査中,0,-
1994-01-07,PCE💿SCD,💿512MB,RPG,アイレム,ソル・モナージュ💿,調査中,調査中,0,-
1994-01-28,PCE💿SCD,💿512MB,RPG,NECホームエレクトロニクス,エメラルドドラゴン💿,調査中,調査中,0,-
1994-01-28,PCE💿SCD,💿512MB,ACT,インテック,格闘覇王伝説アルガノス💿,調査中,調査中,0,-
1994-02-10,PCE💿SCD,💿512MB,RPG,レイ・フォース,スターブレイカー💿,調査中,調査中,0,-
1994-02-18,PCE💿SCD,💿512MB,ARPG,NECホームエレクトロニクス,風の伝説ザナドゥ💿,調査中,調査中,0,-
1994-02-25,PCE💿SCD,💿512MB,SLG,パック・イン・ビデオ,パラディオン💿,調査中,調査中,0,-
1994-02-25,PCE💿SCD,💿512MB,TBL,ナグザット,麻雀レモンエンジェル💿,調査中,調査中,0,-
1994-02-26,PCE💿SCD,💿512MB,ACT,東宝TTI,ゴジラ爆闘烈伝Godzilla💿,調査中,調査中,0,-
1994-03-04,PCE💿SCD,💿512MB,RPG,ナグザット,WIZARDRYIII・IV💿,調査中,調査中,0,-
1994-03-04,PCE💿SCD,💿512MB,SLG,アートディンク,THEATLASルネッサンスボイジャー💿,調査中,調査中,0,-
1994-03-04,PCE💿SCD,💿512MB,SPT,ハドソン,パワーゴルフ2ゴルファー💿,調査中,調査中,0,-
1994-03-25,PCE💿SCD,💿512MB,ADV,NECアベニュー,CALIII完結編💿,調査中,調査中,0,-
1994-03-25,PCE💿SCD,💿512MB,RPG,リバーヒルソフト,プリンセス・ミネルバ💿,調査中,調査中,0,-
1994-03-30,PCE💿SCD,💿512MB,ACT,マイクロキャビン,フレイCDサーク外伝💿,調査中,調査中,0,-
1994-03-30,PCE💿SCD,💿512MB,RPG,NECアベニュー,モンスターメーカー闇の竜騎士💿,調査中,調査中,0,-
1994-04-15,PCE💿SCD,💿512MB,TBL,ココナッツジャパン,パチ夫くん3パチスロ＆パチンコ💿,調査中,調査中,0,-
1994-04-22,PCE💿SCD,💿512MB,ADV,ソニー・ミュージックエンタテインメント,爆伝アンバランスゾーン💿,調査中,調査中,0,-
1994-04-22,PCE💿SCD,💿512MB,PZL,NECアベニュー,ぷよぷよCD💿,調査中,調査中,0,-
1994-04-28,PCE💿SCD,💿512MB,ACT,ナグザット,風霧💿,調査中,調査中,0,-
1994-04-28,PCE💿SCD,💿512MB,SLG,徳間書店インターメディア,初恋物語💿,調査中,調査中,0,-
1994-05-20,PCE💿SCD,💿512MB,ARPG,ハドソンTTI,超英雄伝説ダイナスティックヒーローTheDynasticHero💿,調査中,調査中,0,-
1994-05-27,PCE💿SCD,💿512MB,SLG,コナミ,ときめきメモリアル💿,調査中,調査中,0,-
1994-06-10,PCE💿SCD,💿512MB,RPG,日本テレネット,コズミックファンタジー4銀河少年伝説突入編💿,調査中,調査中,0,-
1994-06-17,PCE💿SCD,💿512MB,RPG,パック・イン・ビデオ,KO世紀ビースト三獣士ガイア復活完結編💿,調査中,調査中,0,-
1994-06-17,PCE💿SCD,💿512MB,SPT,インテック,ザ・プロ野球SUPER'94💿,調査中,調査中,0,-
1994-06-17,PCE💿SCD,💿512MB,ACT,NECアベニュー,天地を喰らう💿,調査中,調査中,0,-
1994-06-17,PCE💿SCD,💿512MB,ARPG,NECホームエレクトロニクス,ブランディッシュ💿,調査中,調査中,0,-
1994-07-08,PCE💿SCD,💿512MB,ADV,NECホームエレクトロニクス,3×3EYES三只眼變成💿,調査中,調査中,0,-
1994-07-08,PCE💿SCD,💿512MB,SLG,ヒューマン,バスティール2💿,調査中,調査中,0,-
1994-07-15,PCE💿SCD,💿512MB,SLG,アートディンク,栄冠は君に高校野球全国大会💿,調査中,調査中,0,-
1994-07-15,PCE💿SCD,💿512MB,ACT,NECアベニュー,チキチキボーイズ💿,調査中,調査中,0,-
1994-07-22,PCE💿SCD,💿512MB,ACT,TGL,アドヴァンストV.G.💿,調査中,調査中,0,-
1994-07-22,PCE💿SCD,💿512MB,RPG,NECアベニュー,ドラゴンナイトIII💿,調査中,調査中,0,-
1994-07-29,PCE💿SCD,💿512MB,ADV,バンプレスト,GS美神💿,調査中,調査中,0,-
1994-07-29,PCE💿SCD,💿512MB,SLG,ハドソン,ネオ・ネクタリス💿,調査中,調査中,0,30
1994-08-05,PCE💿SCD,💿512MB,TBL,ナグザット,スーパーリアル麻雀PII・IIIカスタム💿,調査中,調査中,0,-
1994-08-05,PCE💿SCD,💿512MB,TBL,日本物産,聖戦士伝承・雀卓の騎士💿,調査中,調査中,0,-
1994-08-05,PCE💿SCD,💿512MB,ADV,バンプレスト,美少女戦士セーラームーン💿,調査中,調査中,0,-
1994-08-12,PCE💿SCD,💿512MB,ARPG,NECホームエレクトロニクス,ぽっぷるメイル💿,調査中,調査中,0,-
1994-08-26,PCE💿SCD,💿512MB,RPG,ビクターエンタテインメント,アルシャーク💿,調査中,調査中,0,-
1994-09-16,PCE💿SCD,💿512MB,TBL,日本物産,セクシーアイドル麻雀まーじゃんファッション物語💿,調査中,調査中,0,-
1994-09-22,PCE💿SCD,💿512MB,SLG,NECアベニュー,誕生Debut💿,調査中,調査中,0,-
1994-09-23,PCE💿SCD,💿512MB,ADV,ソフィックス,YAWARA!2💿,調査中,調査中,0,-
1994-09-30,PCE💿SCD,💿512MB,ARPG,NECホームエレクトロニクス,サークIII💿,調査中,調査中,0,-
1994-09-30,PCE💿SCD,💿512MB,TBL,マイクロキャビン,ドラゴンハーフ💿,調査中,調査中,0,-
1994-09-30,PCE💿SCD,💿512MB,RPG,NECホームエレクトロニクス,女神天国💿,調査中,調査中,0,-
1994-10-21,PCE💿SCD,💿512MB,RPG,レイ・フォース,スタートリング・オデッセイII魔竜戦争💿,調査中,調査中,0,-
1994-10-21,PCE💿SCD,💿512MB,ARPG,NECアベニュー,バステッド💿,調査中,調査中,0,-
1994-10-28,PCE💿SCD,💿512MB,ADV,ココナッツジャパン,卒業写真/美姫💿,調査中,調査中,0,-
1994-10-28,PCE💿SCD,💿512MB,ACT,ハドソン,ブラッド・ギア💿,調査中,調査中,0,-
1994-11-05,PCE💿SCD,💿512MB,SLG,ハドソン,ハイパーウォーズ💿,調査中,調査中,0,-
1994-11-11,PCE💿SCD,💿512MB,ACT,バンダイ,ドラゴンボールZ偉大なる孫悟空伝説💿,調査中,調査中,0,-
1994-11-18,PCE💿SCD,💿512MB,ADV,徳間書店インターメディア,電脳天使デジタルアンジュ💿,調査中,調査中,0,-
1994-11-25,PCE💿SCD,💿512MB,QUIZ,NECアベニュー,クイズアベニューIII💿,調査中,調査中,0,-
1994-11-25,PCE💿SCD,💿512MB,ACT,NECホームエレクトロニクス,ゲッツェンディーナー💿,調査中,調査中,0,-
1994-11-25,PCE💿SCD,💿512MB,RPG,日本テレネット,コズミックファンタジー4銀河少年伝説激闘編💿,調査中,調査中,0,-
1994-11-25,PCE💿SCD,💿512MB,他,バンプレスト,美少女戦士セーラームーンcollection💿,調査中,調査中,0,-
1994-12-09,PCE💿SCD,💿512MB,TBL,フジコム,カードエンジェルス💿,調査中,調査中,0,-
1994-12-16,PCE💿SCD,💿512MB,RPG,ハドソン,ロードス島戦記II💿,調査中,調査中,0,-
1994-12-22,PCE💿SCD,💿512MB,RPG,ライトスタッフ,アルナムの牙獣族十二神徒伝説💿,調査中,調査中,0,-
1994-12-22,PCE💿SCD,💿512MB,PZL,ハドソン,ボンバーマンぱにっくボンバー💿,調査中,調査中,0,-
1994-12-23,PCE💿SCD,💿512MB,SPT,NECホームエレクトロニクス,Jリーグトリメンダスサッカー'94💿,調査中,調査中,0,-
1994-12-23,PCE💿SCD,💿512MB,SLG,NECアベニュー,卒業II〜NeoGeneration〜💿,調査中,調査中,0,-
1994-12-29,PCE💿SCD,💿512MB,RPG,ビクター音楽産業,とらべらーず伝説をぶっとばせ💿,調査中,調査中,0,-
1995-01-03,PCE💿SCD,💿512MB,SLG,NECホームエレクトロニクス,プリンセスメーカー1💿,調査中,調査中,0,-
1995-01-20,PCE💿SCD,💿512MB,SLG,パック・イン・ビデオ,メタルエンジェル2💿,調査中,調査中,0,-
1995-01-31,PCE💿SCD,💿512MB,TBL,日本物産,セクシーアイドル麻雀野球拳の詩💿,調査中,調査中,0,-
1995-02-24,PCE💿SCD,💿512MB,SHT,日本コンピュータシステム,愛・超兄貴💿,調査中,調査中,0,-
1995-02-24,PCE💿SCD,💿512MB,ACT,NECアベニュー,姐(あねさん)💿,調査中,調査中,0,-
1995-03-03,PCE💿SCD,💿512MB,TBL,ナグザット,スーパーリアル麻雀P・Vカスタム💿,調査中,調査中,0,-
1995-03-17,PCE💿SCD,💿512MB,SLG,NECホームエレクトロニクス,ソリッドフォース💿,調査中,調査中,0,-
1995-03-31,PCE💿SCD,💿512MB,RPG,NECアベニュー,ドラゴンナイト＆グラフィティ💿,調査中,調査中,0,-
1995-04-07,PCE💿SCD,💿512MB,SPT,ヒューマン,フォーメーションサッカー95dellaセリエA💿,調査中,調査中,0,-
1995-04-28,PCE💿SCD,💿512MB,TBL,日本物産,スロット勝負師💿,調査中,調査中,0,-
1995-05-19,PCE💿SCD,💿512MB,SPT,NECホームエレクトロニクス,レッスルエンジェルス・ダブルインパクト団体経営編＆新人デビュー編💿,調査中,調査中,0,-
1995-05-26,PCE💿SCD,💿512MB,SLG,NECホームエレクトロニクス,機装ルーガII💿,調査中,調査中,0,-
1995-05-26,PCE💿SCD,💿512MB,RPG,ハドソン,空想科学世界ガリバーボーイ💿,調査中,調査中,0,30
1995-05-26,PCE💿SCD,💿512MB,ADV,NECアベニュー,天地無用!魎皇鬼💿,調査中,調査中,0,-
1995-06-16,PCE💿SCD,💿512MB,RPG,パック・イン・ビデオ,熱血レジェンドベースボーラー💿,調査中,調査中,0,-
1995-06-16,PCE💿SCD,💿512MB,SLG,NECホームエレクトロニクス,プリンセスメーカー2💿,調査中,調査中,0,-
1995-06-23,PCE💿SCD,💿512MB,ACT,NECアベニュー,レニーブラスター💿,調査中,調査中,0,-
1995-06-30,PCE💿SCD,💿512MB,ARPG,日本ファルコム,風の伝説ザナドゥII💿,調査中,調査中,0,-
1995-06-30,PCE💿SCD,💿512MB,ADV,ハドソン,銀河お嬢様伝説ユナ2永遠のプリンセス💿,調査中,調査中,0,-
1995-07-28,PCE💿SCD,💿512MB,ACT,NECアベニュー,あすか120%マキシマバーニングフェスト💿,調査中,調査中,0,-
1995-07-28,PCE💿SCD,💿512MB,SHT,NECアベニュー,スペースインベーダージ・オリジナルゲーム💿,調査中,調査中,0,30
1995-08-04,PCE💿SCD,💿512MB,他,ハドソン,百物語〜ほんとにあった怖い話〜💿,調査中,調査中,0,-
1995-08-11,PCE💿SCD,💿512MB,ADV,NECホームエレクトロニクス,プライベート・アイ・ドル💿,調査中,調査中,0,-
1995-08-11,PCE💿SCD,💿512MB,TBL,ナグザット,マージャン・ソードプリンセス・クエスト外伝💿,調査中,調査中,0,-
1995-09-22,PCE💿SCD,💿512MB,ADV,フジコム,真怨霊戦記💿,調査中,調査中,0,-
1995-09-29,PCE💿SCD,💿512MB,ACT,ライトスタッフ,ザ・ティーヴィーショー💿,調査中,調査中,0,-
1995-10-13,PCE💿SCD,💿512MB,RPG,NECホームエレクトロニクス,リンダキューブ💿,調査中,調査中,0,-
1995-10-27,PCE💿SCD,💿512MB,TBL,セタ,将棋データベース棋友💿,調査中,調査中,0,-
1995-11-23,PCE💿SCD,💿512MB,ADV,NECアベニュー,同級生💿,調査中,調査中,0,-
1995-12-22,PCE💿SCD,💿512MB,RPG,ハドソン,聖夜物語💿,調査中,調査中,0,-
1996-03-22,PCE💿SCD,💿512MB,SHT,TGL,スチーム・ハーツ💿,調査中,調査中,0,-
1996-03-29,PCE💿SCD,💿512MB,PZL,NECインターチャネル,ぷよぷよCD通💿,調査中,調査中,0,-
1996-05-31,PCE💿SCD,💿512MB,SLG,徳間書店インターメディア,ヴァージン・ドリーム💿,調査中,調査中,0,-
1996-06-28,PCE💿SCD,💿512MB,SPT,NECホームエレクトロニクス,GO!GO!バーディーチャンス💿,調査中,調査中,0,-
1996-07-12,PCE💿SCD,不明,ADV,NECインターチャネル,DE・JA💿,調査中,調査中,0,-
1996-07-26,PCE💿SCD,💿512MB,PZL,NECホームエレクトロニクス,バザールでござーるのゲームでござーる💿,調査中,調査中,0,-
1997-03-28,PCE💿SCD,💿512MB,SLG,NECホームエレクトロニクス,はたらく☆少女てきぱきワーキン・ラブ💿,調査中,調査中,0,-
1999-06-03,PCE💿SCD,💿512MB,ADV,NECホームエレクトロニクス,デッド・オブ・ザ・ブレイン1＆2💿,調査中,調査中,0,-
1988-10-29,MD,4M,SHT,セガ,スーパーサンダーブレード,"￥5,800","￥6,000代",0,31
1988-10-29,MD,4M,SHT,セガ,スペースハリアーII,"￥5,800","￥6,000代",0,30
1988-11-27,MD,4M,ACT,セガ,獣王記,"￥5,800","￥6,000代",0,-
1988-12-24,MD,2M,ACT,セガ,おそ松くんはちゃめちゃ劇場,"￥5,500","￥5,500代",0,-
1989-02-10,MD,2M,ACT,セガ,アレックスキッド天空魔城,"￥5,500","￥5,500代",0,-
1989-03-21,MD,6M,RPG,セガ,ファンタシースターII還らざる時の終わりに,"￥8,000","￥8,000代",11,-
1989-04-22,MD,4M,SPT,セガ,スーパーリーグ,"￥5,800","￥6,000代",0,-
1989-04-29,MD,4M,SLG,セガ,スーパー大戦略,"￥6,800","￥7,000代",0,31
1989-06-15,MD,4M,SHT,テクノソフト,サンダーフォースIIMD,"￥6,800","￥7,000代",0,-
1989-07-01,MD,4M,ACT,セガ,北斗の拳新世紀末救世主伝説,"￥6,000","￥6,000代",0,-
1989-07-29,MD,2M,SPT,セガ,ワールドカップサッカー,"￥5,500","￥5,500代",0,-
1989-08-03,MD,5M,ACT,セガ,大魔界村,"￥6,800","￥7,000代",8,31
1989-09-09,MD,4M,SPT,セガ,尾崎直道のスーパーマスターズ,"￥6,000","￥6,000代",0,-
1989-10-06,MD,4M,RPG,アスミック,スーパーハイドライド,"￥7,900","￥8,000代",0,-
1989-10-06,MD,4M,RAC,セガ,スーパーハングオン,"￥6,000","￥6,000代",0,-
1989-10-21,MD,2M,ACT,セガ,ランボーIII,"￥5,500","￥5,500代",0,-
1989-11-18,MD,4M,SHT,セガ,フォゴットンワールズ,"￥6,000","￥6,000代",0,-
1989-11-25,MD,4M,ACT,セガ,孔雀王2幻影城,"￥6,000","￥6,000代",0,-
1989-12-02,MD,4M,ACT,セガ,ザ・スーパー忍,"￥6,000","￥6,000代",0,-
1989-12-09,MD,4M,SHT,セガ,TATSUJIN,"￥6,000","￥6,000代",0,-
1989-12-14,MD,2M,TAB,セガ,マージャンCOP竜白狼の野望,"￥5,500","￥5,500代",0,-
1989-12-15,MD,4M,SLG,テクノソフト,ヘルツォーク・ツヴァイ,"￥6,800","￥7,000代",0,-
1989-12-16,MD,5M,RPG,セガ,ヴァーミリオン,"￥8,500","￥8,500代",0,-
1989-12-23,MD,4M,SHT,マイクロネット,カース,"￥6,800","￥7,000代",0,-
1989-12-23,MD,4M,ACT,セガ,ゴールデンアックス,"￥6,000","￥6,000代",8,31
1990-01-01,MD,4M,ETC,セガ,メガアンサー,"￥34,000","￥34,000代",0,-
1990-01-13,MD,2M,PUZ,セガ,ズーム,"￥5,500","￥5,500代",0,-
1990-01-30,MD,2M,PUZ,メサイヤ,史上最大の倉庫番,"￥5,200","￥5,000代",0,-
1990-02-24,MD,4M,RPG,セガ,ソーサリアン,"￥7,000","￥7,000代",0,-
1990-03-02,MD,4M,SPT,セガ,スーパーリアルバスケットボール,"￥6,000","￥6,000代",0,-
1990-03-03,MD,4M,ACT,タイトー,ザ・ニュージーランドストーリー,"￥6,800","￥7,000代",0,-
1990-03-09,MD,4M,SHT,アスミック,エアダイバー,"￥6,800","￥7,000代",0,-
1990-03-16,MD,4M,SHT,メサイヤ,重装機兵レイノス,"￥6,200","￥6,000代",0,-
1990-03-23,MD,4M,SHT,電波新聞社,アフターバーナーII,"￥6,900","￥7,000代",0,-
1990-03-23,MD,4M,SPT,タイトー,ファイナルブロー,"￥6,800","￥7,000代",0,-
1990-04-07,MD,4M,SHT,セガ,ダーウィン4081,"￥6,000","￥6,000代",0,-
1990-04-21,MD,6M,RPG,セガ,時の継承者ファンタシースターIII,"￥8,700","￥8,500代",0,-
1990-04-27,MD,5M,ADV,シグマ商事,サイオブレード,"￥8,500","￥8,500代",0,-
1990-05-19,MD,4M,ACT,セガ,DJボーイ,"￥6,000","￥6,000代",0,-
1990-05-26,MD,4M,SHT,セガ,ウィップラッシュ惑星ボルテガスの謎,"￥6,000","￥6,000代",0,-
1990-06-08,MD,2M,TAB,サンソフト,TEL・TELまあじゃん,"￥5,800","￥6,000代",0,-
1990-06-08,MD,4M,SHT,テクノソフト,サンダーフォースIII,"￥6,800","￥7,000代",0,31
1990-06-23,MD,4M,SHT,セガ,大旋風,"￥6,000","￥6,000代",0,30
1990-06-30,MD,4M,ACT,セガ,ゴーストバスターズ,"￥6,000","￥6,000代",0,-
1990-06-30,MD,1M,PUZ,セガ,コラムス,"￥5,500","￥5,500代",13,-
1990-07-14,MD,4M,ACT,セガ,ESWAT,"￥6,000","￥6,000代",0,-
1990-07-20,MD,4M,SHT,ナムコ,フェリオス,"￥5,800","￥6,000代",0,-
1990-07-27,MD,4M,ACT,サンソフト,バットマン,"￥6,500","￥6,500代",0,-
1990-07-28,MD,4M,SPT,セガ,サイバーボール,"￥6,000","￥6,000代",0,-
1990-08-09,MD,4M,RAC,セガ,スーパーモナコGP,"￥6,000","￥6,000代",6,34
1990-08-10,MD,4M,ACT,タイトー,ラスタンサーガII,"￥6,800","￥7,000代",0,-
1990-08-10,MD,4M,ACT,シグマ商事,四天明王,"￥6,200","￥6,000代",0,-
1990-08-25,MD,4M,ACT,セガ,マイケルジャクソンズムーンウォーカー,"￥6,000","￥6,000代",10,-
1990-08-26,MD,4M,SHT,ユニパック,XDR,"￥6,800","￥7,000代",0,-
1990-09-07,MD,4M,SHT,ホット・ビィ,インセクターX,"￥6,800","￥7,000代",0,-
1990-09-07,MD,2M,PUZ,ナムコ,クラックス,"￥4,900","￥5,000代",0,-
1990-09-07,MD,2M,SHT,タイトー,スペースインベーダー90,"￥5,900","￥6,000代",0,-
1990-09-28,MD,4M,SHT,メサイヤ,ヘルファイアー,"￥6,800","￥7,000代",0,-
1990-09-29,MD,8M,ACT,セガ,ストライダー飛竜,"￥7,000","￥7,000代",0,-
1990-10-05,MD,4M,ACT,タイトー,レインボーアイランドエキストラ,"￥6,800","￥7,000代",0,-
1990-10-12,MD,4M,ACT,ウルフチーム,FZ戦記AXIS(アクシス),"￥6,800","￥7,000代",0,-
1990-10-12,MD,5M,ACT,サンリツ電気,ファットマン,"￥7,800","￥8,000代",0,-
1990-10-19,MD,4M,SHT,ナムコ,バーニングフォース,"￥5,800","￥6,000代",0,-
1990-10-20,MD,4M,SHT,セガ,アローフラッシュ,"￥6,000","￥6,000代",0,-
1990-10-21,MD,4M,SPT,サンソフト,TEL・TELスタジアム,"￥6,500","￥6,500代",0,-
1990-10-27,MD,4M,ACT,セガ,ダイナマイトデューク,"￥6,000","￥6,000代",0,-
1990-11-02,MD,4M,SHT,東亜プラン,鮫!鮫!鮫!,"￥6,500","￥6,500代",0,31
1990-11-16,MD,4M,SHT,ウルフチーム,グラナダ,"￥6,800","￥7,000代",0,-
1990-11-21,MD,4M,ACT,セガ,アイラブミッキーマウスふしぎのお城大冒険,"￥4,800","￥5,000代",10,30
1990-11-22,MD,2M,PUZ,ナムコ,メガパネル,"￥4,900","￥5,000代",0,-
1990-11-25,MD,4M,PUZ,マイクロネット,ジャンクション,"￥6,000","￥6,000代",0,-
1990-12-01,MD,4M,ACT,セガ,シャドーダンサーザ・シークレット・オブ・シノビ,"￥6,000","￥6,000代",0,-
1990-12-12,MD,4M,SPT,アスミック,キューティー鈴木のリングサイドエンジェル,"￥6,800","￥7,000代",0,-
1990-12-14,MD,4M,ACT,トレコ,アトミックロボキッド,"￥6,800","￥7,000代",0,-
1990-12-14,MD,4M,SHT,テクノソフト,エレメンタルマスター,"￥6,800","￥7,000代",0,-
1990-12-14,MD,4M,TAB,ゲームアーツ,ぎゅわんぶらあ自己中心派片山まさゆきの麻雀道場,"￥6,800","￥7,000代",0,-
1990-12-15,MD,4M,ACT,セガ,まじかるハットのぶっとびターボ!大冒険,"￥5,800","￥6,000代",0,-
1990-12-18,MD,4M,SHT,ナムコ,デンジャラスシード,"￥5,800","￥6,000代",0,-
1990-12-20,MD,4M,ACT,セガ,クラックダウン,"￥6,000","￥6,000代",0,-
1990-12-20,MD,8M,SHT,タイトー,ダライアスII,"￥8,900","￥9,000代",0,-
1990-12-21,MD,4M,ADV,メサイヤ,スタークルーザー,"￥7,300","￥7,500代",0,-
1990-12-21,MD,2M,RAC,テンゲン,ハードドライビン,"￥5,900","￥6,000代",0,30
1990-12-21,MD,4M,SHT,東亜プラン,武者アレスタ,"￥6,800","￥7,000代",0,-
1990-12-22,MD,4M,ACT,セガ,モンスターレア,"￥6,000","￥6,000代",0,-
1990-12-26,MD,8M,SHT,テレネット,ガイアレス,"￥8,400","￥8,500代",0,-
1990-12-26,MD,4M,SHT,東宝,ヘビーユニットメガドライブスペシャル,"￥6,500","￥6,500代",0,-
1991-01-01,MD,4M,SPT,日刊スポーツ/データサプライズ/ＶＡＮ,日刊スポーツプロ野球VAN,"￥7,000","￥7,000代",0,-
1991-01-03,MD,4M,ACT,セガ,ゲイングランド,"￥6,000","￥6,000代",0,-
1991-01-25,MD,2M,ACT,タイトー,ヴォルフィード,"￥4,900","￥5,000代",0,-
1991-01-25,MD,4M,SHT,メサイヤ,ジノーグ,"￥6,500","￥6,500代",0,-
1991-01-31,MD,4M,SHT,カネコ,エアロブラスターズ,"￥6,000","￥6,000代",0,-
1991-02-01,MD,2M,SPT,ビデオシステム,スーパーバレーボール,"￥5,800","￥6,000代",0,-
1991-02-08,MD,4M,SPT,ナムコ,レッスルボール,"￥5,800","￥6,000代",7,-
1991-02-15,MD,4M,SPT,セガ,バトルゴルファー唯,"￥6,000","￥6,000代",0,-
1991-02-22,MD,5M,SHT,トレコ,究極タイガー,"￥7,500","￥7,500代",0,-
1991-02-24,MD,8M,SLG,マイクロネット,シーザーの野望,"￥8,800","￥9,000代",0,-
1991-03-01,MD,4M,SPT,セガ,ジョー・モンタナフットボール,"￥6,000","￥6,000代",0,-
1991-03-01,MD,4M,ACT,セガ,ディックトレイシー,"￥6,000","￥6,000代",0,-
1991-03-08,MD,4M,SLG,セガ,バハムート戦記,"￥6,800","￥7,000代",0,-
1991-03-19,MD,8M,ADV,ナムコ,ふしぎの海のナディア,"￥6,500","￥6,500代",0,-
1991-03-22,MD,8M,ACT,テレネット,ヴァリスIII,"￥8,400","￥8,500代",0,-
1991-03-22,MD,4M,ACT,メサイヤ,魔物ハンター妖子第7の警鐘,"￥6,500","￥6,500代",0,-
1991-03-29,MD,8M,RPG,セガ,シャイニング＆ザ・ダクネス,"￥8,700","￥8,500代",16,31
1991-03-29,MD,4M,SHT,九娯貿易,スーパーエアーウルフ,"￥6,800","￥7,000代",0,-
1991-03-29,MD,8M,ACT,データイースト,ミッドナイトレジスタンス,"￥7,800","￥8,000代",0,-
1991-03-29,MD,4M,SLG,ウルフチーム,斬夜叉円舞曲,"￥8,500","￥8,500代",0,-
1991-03-29,MD,8M,TAB,テレネット,雀偵物語,"￥8,400","￥8,500代",0,-
1991-04-05,MD,4M,SHT,アスミック,ヴェリテックス,"￥6,800","￥7,000代",0,-
1991-04-26,MD,4M,SLG,メサイヤ,ラングリッサー,"￥7,300","￥7,500代",8,-
1991-04-26,MD,4M,ACT,ビスコ,ワードナの森SPECIAL,"￥6,300","￥6,500代",0,-
1991-04-26,MD,5M,ACT,ホット・ビィ,火激,"￥7,700","￥7,500代",0,-
1991-04-27,MD,4M,PUZ,サンソフト,紫禁城,"￥6,500","￥6,500代",0,-
