発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,売り上げ本数TOP50,ハード,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？
1987-11-13,-,4,RPG,日本物産,アルテリオス,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-11-16,-,5,RPG,ハドソン,ファザナドゥ,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1987-11-27,-,2,SPT,バンダイ,ファミリートレーナーシリーズ7ファミトレ大運動会,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-11-27,-,4,RPG,ナムコ,時空勇伝デビアス,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-12-04,-,4,RPG,ビクター音楽産業,アウトランダーズ,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-04,30,4,ACT,ナムコ,スターウォーズ(ナムコ製),"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-12-04,-,4,RPG,コナミ,ドラゴンスクロール蘇りし魔竜,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-04,-,4,ACT,パックインビデオ,ランボー,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-07,-,4,SHT,スクウェア,JJ(ジェイジェイ),"￥4,500","￥4,500代",0,1,-,-,-,-,-
1987-12-09,-,4,SPT,データイースト,ゴルフ倶楽部バーディラッシュ,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-11,-,4,SHT,コナミ,トップガン,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-11,-,3,SPT,ナムコ,ファミリーテニス,"￥3,900","￥4,000代",0,1,-,対戦,-,-,-
1987-12-11,-,4,ADV,タイトー,京都龍の寺殺人事件山村美紗サスペンスシリーズ,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-12,34,2,ETC,デービーソフト,鉄道王,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-12-15,-,4,RPG,任天堂,銀河の三人,"￥5,000","￥5,000代",0,1,🟦青,-,-,-,-
1987-12-16,-,4,ACT,コナミ,エキサイティングボクシング,"￥7,980","￥8,000代",0,1,-,-,-,-,-
1987-12-17,-,4,ACT,カプコン,ロックマン,"￥5,300","￥5,500代",120,1,🟦青,-,-,-,-
1987-12-18,-,4,ACT,ナムコ,カルノフ,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-12-18,-,4,SPT,ケイアミューズメントリース,スティックハンター,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-18,-,4,RAC,タイトー,タイトーグランプリ栄光へのライセンス,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-18,34,5,RPG,スクウェア,ファイナルファンタジー,"￥5,900","￥6,000代",0,1,⬜白,-,-,-,-
1987-12-18,31,4,TAB,ココナッツジャパン,目指せパチプロパチ夫くん,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-22,33,4,RPG,アスキー,ウィザードリィ,"￥5,800","￥6,000代",0,1,◾黒,-,-,-,-
1987-12-22,-,4,RPG,バンダイ,ゲゲゲの鬼太郎2妖怪軍団の挑戦,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-22,-,3,SPT,ナムコ,プロ野球ファミリースタジアム87年度版,"￥3,900","￥4,000代",130,1,-,-,-,-,-
1987-12-22,-,4,ACT,コナミ,メタルギア,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-25,-,4,SHT,東芝ＥＭＩ,マグナム危機一髪エンパイアシティー1931,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-12-26,-,4,SHT,ポニーキャニオン,アタックアニマル学園,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-26,-,4,ACT,ケムコ,スーパーマン,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-12-28,-,2,SPT,バンダイ,ファミリートレーナーシリーズ8突撃！風雲たけし城,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-01-06,32,4,RAC,ナムコ,ファミリーサーキット,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1988-01-07,-,5,ADV,HAL研究所,ソフトハウス連続殺人事件殺意の階層,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-01-14,30,4,ACT,コナミ,コナミワイワイワールド,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-01-22,-,4,ACT,東映動画,スケバン刑事Ⅲ,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-01-23,-,4,ADV,サンソフト,リップルアイランド,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1988-01-29,-,4,ACT,データイースト,ドナルドランド,"￥5,500","￥5,500代",0,1,🟥赤,-,-,-,-
1988-02-01,-,4,SPT,HAL研究所,ジャンボ尾崎のホールインワンプロフェッシュナル,"￥5,600","￥5,500代",0,1,-,-,-,-,-
1988-02-01,-,4,RAC,CBSソニー,パリダカールラリースペシャル,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-02-03,-,4,ACT,バンダイ,仮面ライダー倶楽部,"￥5,500","￥5,500代",0,1,-,-,-,-,09位
1988-02-05,30,4,SHT,アイレム,ガーディック外伝,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-02-09,-,4,ACT,コナミ,魂斗羅(コントラ),"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-02-10,38,5,RPG,エニックス,ドラゴンクエストⅢそして伝説へ…,"￥5,900","￥6,000代",380,1,◾黒,-,-,-,-
1988-02-18,-,5,ETC,バンダイ,カラオケスタジオ専用カセットトップヒット20Vol.2,"￥3,980","￥4,000代",0,1,-,-,-,-,-
1988-02-18,30,5,SLG,イマジニア,松本亨の株式必勝学,"￥9,800","￥10,000代",0,1,-,-,-,-,-
1988-02-26,-,4,ADV,データイースト,探偵神宮寺三郎横浜港連続殺人事件,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-02-26,-,4,ACT,コナミ,鉄腕アトム,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-04,-,4,ACT,ポニーキャニオン,ボールブレイザー(ルーカスフィルムゲーム),"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-08,-,3,ETC,タイトー,アルカノイドⅡ,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-03-10,-,4,ACT,パックインビデオ,シュワルツネッガーのプレデター,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-17,-,4,ETC,ビクター音楽産業,釣りキチ三平ブルーマーリン編,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-17,-,4,ACT,ナムコ,ローリングサンダー,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-18,-,4,SLG,アイレム,ナポレオン戦記,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-18,-,5,SLG,光栄,信長の野望全国版,"￥9,800","￥10,000代",0,1,-,-,-,-,-
1988-03-18,-,4,TAB,ポニーキャニオン,谷川浩司の将棋指南Ⅱ名人への道,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-24,-,4,SPT,SNK,ファイティングゴルフ,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-26,-,4,ACT,ビック東海,ゴルゴ13第一章神々の黄昏,"￥5,700","￥5,500代",0,1,-,-,-,-,-
1988-03-28,-,4,RPG,イマジニア,愛の伝説オリュンポスの戦い,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-03-28,-,4,SLG,ホットビィ,武田信玄,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-03-29,-,2,SLG,アスキー,フリートコマンダー,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-03-29,-,5,ACT,タイトー,不動明王伝,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-03-30,-,4,ADV,データイースト,ビーバップハイスクール高校生極楽伝説,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-04-05,-,4,SLG,ナムコ,独眼竜政宗,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-04-08,-,4,ACT,東宝,ジーキル博士の彷魔が刻,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1988-04-08,31,4,ACT,テクノスジャパン,双截龍(ダブルドラゴン),"￥5,800","￥6,000代",0,1,-,-,-,-,-
1988-04-15,-,4,SPT,ジャレコ,燃えろ！！プロテニス,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-04-16,-,5,ACT,ケイアミューズメントリース,怒ⅡDOGOSOKEN,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-04-28,-,4,RPG,トンキンハウス,エリュシオン,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-04-28,32,4,SPT,テクモ,キャプテン翼,"￥5,500","￥5,500代",0,1,🟥赤,-,-,-,-
1988-04-28,-,4,SLG,ケムコ,砂漠の狐戦車戦略,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1988-05-01,-,5,ADV,トーワチキ,名探偵ホームズ霧のロンドン殺人事件,"￥6,000","￥6,000代",0,1,-,-,-,-,-
1988-05-13,-,5,RPG,スクウェア,ディープダンジョンⅢ勇士への旅,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1988-05-20,-,4,ACT,東映動画,仮面の忍者赤影,"￥5,300","￥5,500代",0,1,-,-,-,-,-
