日付,💔5歳未満児の死亡数(1000人中),👶子供の数(女性1人中),平均寿命,国名,地域,未使用,人口密度,カウント,🏥医療費:1人当たりのGDPに対する割合%,💰所得(平均年収):ドル,輸出:1人当たりの輸出:GDPに対する割合%,輸入:1人当たりの輸出:GDPに対する割合%,💰一人当たりのGDP:ドル,📈インフレ:総GDPの年間成長率:%
2024-09-01,2.8,1.15,82.7,Singapore,西太平洋,-,8250,1,3.96,72100,200,174,46600,-0.046
2024-09-01,7,1.43,75.5,Slovak Republic,ヨーロッパ,-,110,1,8.79,25200,76.3,77.8,16600,0.485
2024-09-01,3.2,1.57,79.5,Slovenia,ヨーロッパ,-,105,1,9.41,28700,64.3,62.9,23400,-0.987
2024-09-01,28.1,4.24,61.7,Solomon Islands,西太平洋,-,26,1,8.55,1780,49.3,81.2,1290,6.81
2024-09-01,53.7,2.59,54.3,South Africa,アフリカ,-,49,1,8.94,12000,28.6,27.4,7280,6.35
2024-09-01,4.1,1.23,80.1,Korea,西太平洋,-,516,1,6.93,30400,49.4,46.2,22100,3.16
2024-09-01,3.8,1.37,81.9,Spain,ヨーロッパ,-,97,1,9.54,32500,25.5,26.8,30700,0.16
2024-09-01,11.2,2.2,74.4,Sri Lanka,東南アジア,-,334,1,2.94,8560,19.6,26.8,2810,22.8
2024-09-01,20.7,2.07,71.6,St. Vincent & the Grenadines,中央アメリカ,-,267,1,4.47,9920,26.9,57.1,6230,4.44
2024-09-01,76.7,4.88,66.3,Sudan,アフリカ,-,27,1,6.32,3370,19.7,17.2,1480,19.6
2024-09-01,24.1,2.52,70.3,Suriname,南アメリカ,-,4,1,7.01,14200,52.5,38.4,8300,7.2
2024-09-01,3,1.98,81.5,Sweden,ヨーロッパ,-,24,1,9.63,42900,46.2,40.7,52100,0.991
2024-09-01,4.5,1.52,82.2,Switzerland,ヨーロッパ,-,213,1,11.5,55500,64,53.3,74600,0.317
2024-09-01,52.4,3.51,69.6,Tajikistan,ヨーロッパ,-,72,1,5.98,2110,14.9,58.6,738,12.5
2024-09-01,71.9,5.43,59.3,Tanzania,アフリカ,-,71,1,6.01,2090,18.7,29.1,702,9.25
2024-09-01,14.9,1.55,76.6,Thailand,東南アジア,-,140,1,3.88,13500,66.5,60.8,5080,4.08
2024-09-01,62.6,6.23,71.1,Timor-Leste,東南アジア,-,91,1,9.12,1850,2.2,27.8,3600,26.5
2024-09-01,90.3,4.87,58.7,Togo,アフリカ,-,159,1,7.65,1210,40.2,57.3,488,1.18
2024-09-01,17.4,3.91,69.9,Tonga,西太平洋,-,144,1,5.07,4980,12.4,60.3,3550,3.68
2024-09-01,17.4,2.14,76.9,Tunisia,東地中海,-,76,1,6.21,10400,50.5,55.3,4140,3.82
2024-09-01,19.1,2.15,78.2,Turkey,ヨーロッパ,-,110,1,6.74,18000,20.4,25.5,10700,7.01
2024-09-01,62,2.83,67.9,Turkmenistan,ヨーロッパ,-,13,1,2.5,9940,76.3,44.5,4440,2.31
2024-09-01,81,6.15,56.8,Uganda,アフリカ,-,201,1,9.01,1540,17.1,28.6,595,10.6
2024-09-01,11.7,1.44,70.4,Ukraine,ヨーロッパ,-,61,1,7.72,7820,47.1,51.1,2970,13.4
2024-09-01,8.6,1.87,76.5,United Arab Emirates,東地中海,-,134,1,3.66,57600,77.7,63.6,35000,12.5
2024-09-01,5.2,1.92,80.3,United Kingdom,ヨーロッパ,-,279,1,9.64,36200,28.2,30.8,38900,1.57
2024-09-01,7.3,1.93,78.7,United States,北アメリカ,-,35,1,17.9,49400,12.4,15.8,48400,1.22
2024-09-01,10.6,2.08,76.4,Uruguay,南アメリカ,-,20,1,8.35,17100,26.3,25.4,11900,4.91
2024-09-01,36.3,2.34,68.8,Uzbekistan,ヨーロッパ,-,78,1,5.81,4240,31.7,28.5,1380,16.5
2024-09-01,29.2,3.5,63,Vanuatu,西太平洋,-,27,1,5.25,2950,46.6,52.7,2970,2.62
2024-09-01,17.1,2.47,75.4,Venezuela,南アメリカ,-,31,1,4.91,16500,28.5,17.6,13500,45.9
2024-09-01,23.3,1.95,73.1,Vietnam,西太平洋,-,298,1,6.84,4490,72,80.2,1310,12.1
2024-09-01,56.3,4.67,67.5,Yemen,東地中海,-,65,1,5.18,4480,30,34.4,1310,23.6
2024-09-01,83.1,5.4,52,Zambia,アフリカ,-,27,1,5.89,3280,37,30.9,1460,14
@CsvOptions:,,,,,,,,,,,,,,
dataType=0,,,,,,,,,,,,,,
title=🌏世界各国の社会経済指標,,,,,,,,,,,,,,
searchPrefix=SocioeconomicIndicators,,,,,,,,,,,,,,
dataReference=<ul><li><a target%3d'_blank' href%3d'https://www.kaggle.com/datasets/samira1992/countries-intermediate-dataset'>🌏 Countries- Intermediate 🗃️ Dataset@kaggle</a></li></ul>,,,,,,,,,,,,,,
editURL=https://docs.google.com/spreadsheets/d/1z8gw2dLQ8IVM81ONfp3Sli7MYg8zPaZJB1Uyo1VPEaY/edit?gid=1398617958#gid=1398617958,,,,,,,,,,,,,,
detailType=name,,,,,,,,,,,,,,
isMakeAutocompleteData=1,,,,,,,,,,,,,,
chartMap[isShow]=1,,,,,,,,,,,,,,
chartMap[mapType]=world,,,,,,,,,,,,,,
"chartMap[colors]=[[""High"",""#8c0a00"",999],["" "",""#ea5432"",499],[""  "",""#ff781d"",99],[""   "",""#ff9d57"",49],[""    "",""#ffceab"",9],[""     "",""#f5deb3"",4],[""Low"",""#dadada"",0],[""選択中"",""#ffffff"",0]]",,,,,,,,,,,,,,
chartMap[isDetailTooltip]=1,,,,,,,,,,,,,,
chartName[imagePath]=/img/world,,,,,,,,,,,,,,
chartName[imageTooltip]=all,,,,,,,,,,,,,,
chartName[isLabelAlphabet]=1,,,,,,,,,,,,,,
chartName[isHideLabelValue]=1,,,,,,,,,,,,,,
chartCity[isHidden]=0,,,,,,,,,,,,,,
chartCity[imagePath]=@tube,,,,,,,,,,,,,,
