日付,性別(候補者),年齢(候補者),政党(候補者),立候補者,市区町村,職業(候補者),職業カテゴリ,カウント
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),北区,起業コンサルティング業,0,12
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),荒川区,起業コンサルティング業,0,7
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),板橋区,起業コンサルティング業,0,19
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),練馬区,起業コンサルティング業,0,24
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),足立区,起業コンサルティング業,0,17
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),葛飾区,起業コンサルティング業,0,42
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),江戸川区,起業コンサルティング業,0,13
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),八王子市,起業コンサルティング業,0,39
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),立川市,起業コンサルティング業,0,5
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),武蔵野市,起業コンサルティング業,0,2
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),三鷹市,起業コンサルティング業,0,5
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),青梅市,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),府中市,起業コンサルティング業,0,13
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),昭島市,起業コンサルティング業,0,5
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),調布市,起業コンサルティング業,0,11
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),町田市,起業コンサルティング業,0,15
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),小金井市,起業コンサルティング業,0,3
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),小平市,起業コンサルティング業,0,9
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),日野市,起業コンサルティング業,0,6
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),東村山市,起業コンサルティング業,0,8
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),国分寺市,起業コンサルティング業,0,6
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),国立市,起業コンサルティング業,0,1
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),福生市,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),狛江市,起業コンサルティング業,0,3
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),東大和市,起業コンサルティング業,0,3
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),清瀬市,起業コンサルティング業,0,6
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),東久留米市,起業コンサルティング業,0,12
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),武蔵村山市,起業コンサルティング業,0,1
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),多摩市,起業コンサルティング業,0,2
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),稲城市,起業コンサルティング業,0,3
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),羽村市,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),あきる野市,起業コンサルティング業,0,1
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),西東京市,起業コンサルティング業,0,7
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),瑞穂町,起業コンサルティング業,0,2
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),日の出町,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),檜原村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),奥多摩町,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),大島町,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),利島村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),新島村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),神津島村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),三宅村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),御蔵島村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),八丈町,起業コンサルティング業,0,1
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),青ヶ島村,起業コンサルティング業,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),小笠原村,起業コンサルティング業,0,0
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),千代田区,会社員,0,1
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),中央区,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),港区,会社員,0,7
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),新宿区,会社員,0,13
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),文京区,会社員,0,8
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),台東区,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),墨田区,会社員,0,13
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),江東区,会社員,0,31
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),品川区,会社員,0,19
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),目黒区,会社員,0,5
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),大田区,会社員,0,46
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),世田谷区,会社員,0,20
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),渋谷区,会社員,0,8
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),中野区,会社員,0,9
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),杉並区,会社員,0,18
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),豊島区,会社員,0,25
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),北区,会社員,0,16
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),荒川区,会社員,0,9
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),板橋区,会社員,0,30
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),練馬区,会社員,0,32
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),足立区,会社員,0,80
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),葛飾区,会社員,0,26
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),江戸川区,会社員,0,44
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),八王子市,会社員,0,25
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),立川市,会社員,0,15
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),武蔵野市,会社員,0,2
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),三鷹市,会社員,0,5
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),青梅市,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),府中市,会社員,0,10
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),昭島市,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),調布市,会社員,0,4
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),町田市,会社員,0,17
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),小金井市,会社員,0,14
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),小平市,会社員,0,13
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),日野市,会社員,0,10
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),東村山市,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),国分寺市,会社員,0,9
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),国立市,会社員,0,5
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),福生市,会社員,0,2
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),狛江市,会社員,0,4
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),東大和市,会社員,0,6
2024-07-07,1,49,ＮＨＫから国民を守る党,木村 嘉孝♂(49),清瀬市,会社員,0,8
